seq,src,dst,noise,received,error,rssi
1,node2-1,node3-2,-20,True,False,30
2,node2-1,node3-2,-20,True,False,29
3,node2-1,node3-2,-20,True,False,25
4,node2-1,node3-2,-20,True,False,26
5,node2-1,node3-2,-20,True,False,25
6,node2-1,node3-2,-20,True,False,25
7,node2-1,node3-2,-20,True,False,25
8,node2-1,node3-2,-20,True,False,25
9,node2-1,node3-2,-20,True,False,26
10,node2-1,node3-2,-20,True,False,25
11,node2-1,node3-2,-20,True,False,26
12,node2-1,node3-2,-20,True,False,25
13,node2-1,node3-2,-20,True,False,26
14,node2-1,node3-2,-20,True,False,26
15,node2-1,node3-2,-20,True,False,25
16,node2-1,node3-2,-20,True,False,26
17,node2-1,node3-2,-20,True,False,25
18,node2-1,node3-2,-20,True,False,26
19,node2-1,node3-2,-20,True,False,26
20,node2-1,node3-2,-20,True,False,26
21,node2-1,node3-2,-20,True,False,26
22,node2-1,node3-2,-20,True,False,25
23,node2-1,node3-2,-20,True,False,25
24,node2-1,node3-2,-20,True,False,26
25,node2-1,node3-2,-20,True,False,26
26,node2-1,node3-2,-20,True,False,25
27,node2-1,node3-2,-20,True,False,26
28,node2-1,node3-2,-20,True,False,25
29,node2-1,node3-2,-20,True,False,26
30,node2-1,node3-2,-20,True,False,26
31,node2-1,node3-2,-20,True,False,26
32,node2-1,node3-2,-20,True,False,26
33,node2-1,node3-2,-20,True,False,26
34,node2-1,node3-2,-20,True,False,26
35,node2-1,node3-2,-20,True,False,25
36,node2-1,node3-2,-20,True,False,26
37,node2-1,node3-2,-20,True,False,26
38,node2-1,node3-2,-20,True,False,25
39,node2-1,node3-2,-20,True,False,25
40,node2-1,node3-2,-20,True,False,26
41,node2-1,node3-2,-20,True,False,26
42,node2-1,node3-2,-20,True,False,26
43,node2-1,node3-2,-20,True,False,25
44,node2-1,node3-2,-20,True,False,26
45,node2-1,node3-2,-20,True,False,25
46,node2-1,node3-2,-20,True,False,24
47,node2-1,node3-2,-20,True,False,25
48,node2-1,node3-2,-20,True,False,25
49,node2-1,node3-2,-20,True,False,26
50,node2-1,node3-2,-20,True,False,26
51,node2-1,node3-2,-20,True,False,26
52,node2-1,node3-2,-20,True,False,26
53,node2-1,node3-2,-20,True,False,26
54,node2-1,node3-2,-20,True,False,25
55,node2-1,node3-2,-20,True,False,25
56,node2-1,node3-2,-20,True,False,25
57,node2-1,node3-2,-20,True,False,26
58,node2-1,node3-2,-20,True,False,26
59,node2-1,node3-2,-20,True,False,25
60,node2-1,node3-2,-20,True,False,25
61,node2-1,node3-2,-20,True,False,26
62,node2-1,node3-2,-20,True,False,26
63,node2-1,node3-2,-20,True,False,26
64,node2-1,node3-2,-20,True,False,26
65,node2-1,node3-2,-20,True,False,26
66,node2-1,node3-2,-20,True,False,26
67,node2-1,node3-2,-20,True,False,26
68,node2-1,node3-2,-20,True,False,26
69,node2-1,node3-2,-20,True,False,26
70,node2-1,node3-2,-20,True,False,26
71,node2-1,node3-2,-20,True,False,26
72,node2-1,node3-2,-20,True,False,26
73,node2-1,node3-2,-20,True,False,27
74,node2-1,node3-2,-20,True,False,26
75,node2-1,node3-2,-20,True,False,26
76,node2-1,node3-2,-20,True,False,25
77,node2-1,node3-2,-20,True,False,25
78,node2-1,node3-2,-20,True,False,25
79,node2-1,node3-2,-20,True,False,26
80,node2-1,node3-2,-20,True,False,26
81,node2-1,node3-2,-20,True,False,25
82,node2-1,node3-2,-20,True,False,25
83,node2-1,node3-2,-20,True,False,25
84,node2-1,node3-2,-20,True,False,25
85,node2-1,node3-2,-20,True,False,26
86,node2-1,node3-2,-20,True,False,25
87,node2-1,node3-2,-20,True,False,25
88,node2-1,node3-2,-20,True,False,25
89,node2-1,node3-2,-20,True,False,25
90,node2-1,node3-2,-20,True,False,25
91,node2-1,node3-2,-20,True,False,26
92,node2-1,node3-2,-20,True,False,25
93,node2-1,node3-2,-20,True,False,25
94,node2-1,node3-2,-20,True,False,26
95,node2-1,node3-2,-20,True,False,26
96,node2-1,node3-2,-20,True,False,26
97,node2-1,node3-2,-20,True,False,26
98,node2-1,node3-2,-20,True,False,26
99,node2-1,node3-2,-20,True,False,25
100,node2-1,node3-2,-20,True,False,25
101,node2-1,node3-2,-20,True,False,26
102,node2-1,node3-2,-20,True,False,25
103,node2-1,node3-2,-20,True,False,25
104,node2-1,node3-2,-20,True,False,26
105,node2-1,node3-2,-20,True,False,25
106,node2-1,node3-2,-20,True,False,25
107,node2-1,node3-2,-20,True,False,26
108,node2-1,node3-2,-20,True,False,25
109,node2-1,node3-2,-20,True,False,26
110,node2-1,node3-2,-20,True,False,25
111,node2-1,node3-2,-20,True,False,26
112,node2-1,node3-2,-20,True,False,26
113,node2-1,node3-2,-20,True,False,26
114,node2-1,node3-2,-20,True,False,26
115,node2-1,node3-2,-20,True,False,26
116,node2-1,node3-2,-20,True,False,25
117,node2-1,node3-2,-20,True,False,25
118,node2-1,node3-2,-20,True,False,25
119,node2-1,node3-2,-20,True,False,26
120,node2-1,node3-2,-20,True,False,26
121,node2-1,node3-2,-20,True,False,26
122,node2-1,node3-2,-20,True,False,25
123,node2-1,node3-2,-20,True,False,25
124,node2-1,node3-2,-20,True,False,25
125,node2-1,node3-2,-20,True,False,26
126,node2-1,node3-2,-20,True,False,25
127,node2-1,node3-2,-20,True,False,25
128,node2-1,node3-2,-20,True,False,26
129,node2-1,node3-2,-20,True,False,25
130,node2-1,node3-2,-20,True,False,26
131,node2-1,node3-2,-20,True,False,25
132,node2-1,node3-2,-20,True,False,26
133,node2-1,node3-2,-20,True,False,26
134,node2-1,node3-2,-20,True,False,25
135,node2-1,node3-2,-20,True,False,25
136,node2-1,node3-2,-20,True,False,25
137,node2-1,node3-2,-20,True,False,26
138,node2-1,node3-2,-20,True,False,26
139,node2-1,node3-2,-20,True,False,25
140,node2-1,node3-2,-20,True,False,26
141,node2-1,node3-2,-20,True,False,25
142,node2-1,node3-2,-20,True,False,26
143,node2-1,node3-2,-20,True,False,25
144,node2-1,node3-2,-20,True,False,26
145,node2-1,node3-2,-20,True,False,25
146,node2-1,node3-2,-20,True,False,26
147,node2-1,node3-2,-20,True,False,26
148,node2-1,node3-2,-20,True,False,25
149,node2-1,node3-2,-20,True,False,25
150,node2-1,node3-2,-20,True,False,26
151,node2-1,node3-2,-20,True,False,25
152,node2-1,node3-2,-20,True,False,26
153,node2-1,node3-2,-20,True,False,26
154,node2-1,node3-2,-20,True,False,26
155,node2-1,node3-2,-20,True,False,25
156,node2-1,node3-2,-20,True,False,26
157,node2-1,node3-2,-20,True,False,25
158,node2-1,node3-2,-20,True,False,26
159,node2-1,node3-2,-20,True,False,26
160,node2-1,node3-2,-20,True,False,26
161,node2-1,node3-2,-20,True,False,26
162,node2-1,node3-2,-20,True,False,25
163,node2-1,node3-2,-20,True,False,26
164,node2-1,node3-2,-20,True,False,25
165,node2-1,node3-2,-20,True,False,26
166,node2-1,node3-2,-20,True,False,26
167,node2-1,node3-2,-20,True,False,26
168,node2-1,node3-2,-20,True,False,26
169,node2-1,node3-2,-20,True,False,26
170,node2-1,node3-2,-20,True,False,25
171,node2-1,node3-2,-20,True,False,26
172,node2-1,node3-2,-20,True,False,26
173,node2-1,node3-2,-20,True,False,26
174,node2-1,node3-2,-20,True,False,25
175,node2-1,node3-2,-20,True,False,24
176,node2-1,node3-2,-20,True,False,26
177,node2-1,node3-2,-20,True,False,26
178,node2-1,node3-2,-20,True,False,25
179,node2-1,node3-2,-20,True,False,26
180,node2-1,node3-2,-20,True,False,25
181,node2-1,node3-2,-20,True,False,26
182,node2-1,node3-2,-20,True,False,27
183,node2-1,node3-2,-20,True,False,26
184,node2-1,node3-2,-20,True,False,26
185,node2-1,node3-2,-20,True,False,26
186,node2-1,node3-2,-20,True,False,25
187,node2-1,node3-2,-20,True,False,25
188,node2-1,node3-2,-20,True,False,25
189,node2-1,node3-2,-20,True,False,25
190,node2-1,node3-2,-20,True,False,25
191,node2-1,node3-2,-20,True,False,26
192,node2-1,node3-2,-20,True,False,25
193,node2-1,node3-2,-20,True,False,25
194,node2-1,node3-2,-20,True,False,26
195,node2-1,node3-2,-20,True,False,25
196,node2-1,node3-2,-20,True,False,25
197,node2-1,node3-2,-20,True,False,26
198,node2-1,node3-2,-20,True,False,25
199,node2-1,node3-2,-20,True,False,26
200,node2-1,node3-2,-20,True,False,26
201,node2-1,node3-2,-20,True,False,26
202,node2-1,node3-2,-20,True,False,25
203,node2-1,node3-2,-20,True,False,25
204,node2-1,node3-2,-20,True,False,26
205,node2-1,node3-2,-20,True,False,26
206,node2-1,node3-2,-20,True,False,26
207,node2-1,node3-2,-20,True,False,26
