seq,src,dst,noise,received,error,rssi
1,node3-8,node3-2,-10,True,False,14
2,node3-8,node3-2,-10,True,False,13
3,node3-8,node3-2,-10,True,False,13
4,node3-8,node3-2,-10,True,False,12
5,node3-8,node3-2,-10,True,False,12
6,node3-8,node3-2,-10,True,False,12
7,node3-8,node3-2,-10,True,False,11
8,node3-8,node3-2,-10,True,False,11
9,node3-8,node3-2,-10,True,False,13
10,node3-8,node3-2,-10,True,False,11
11,node3-8,node3-2,-10,True,False,10
12,node3-8,node3-2,-10,True,False,11
13,node3-8,node3-2,-10,True,False,11
14,node3-8,node3-2,-10,True,False,10
15,node3-8,node3-2,-10,True,False,13
16,node3-8,node3-2,-10,True,False,12
17,node3-8,node3-2,-10,True,False,12
18,node3-8,node3-2,-10,True,False,12
19,node3-8,node3-2,-10,True,False,11
20,node3-8,node3-2,-10,True,False,11
21,node3-8,node3-2,-10,True,False,11
22,node3-8,node3-2,-10,True,False,12
23,node3-8,node3-2,-10,True,False,11
24,node3-8,node3-2,-10,True,False,12
25,node3-8,node3-2,-10,True,False,13
26,node3-8,node3-2,-10,True,False,12
27,node3-8,node3-2,-10,True,False,12
28,node3-8,node3-2,-10,True,False,13
29,node3-8,node3-2,-10,True,False,11
30,node3-8,node3-2,-10,True,False,11
31,node3-8,node3-2,-10,True,False,12
32,node3-8,node3-2,-10,True,False,11
33,node3-8,node3-2,-10,True,False,13
34,node3-8,node3-2,-10,True,False,11
35,node3-8,node3-2,-10,True,False,12
36,node3-8,node3-2,-10,True,False,11
37,node3-8,node3-2,-10,True,False,11
38,node3-8,node3-2,-10,True,False,12
39,node3-8,node3-2,-10,True,False,12
40,node3-8,node3-2,-10,True,False,11
41,node3-8,node3-2,-10,True,False,12
42,node3-8,node3-2,-10,True,False,12
43,node3-8,node3-2,-10,True,False,11
44,node3-8,node3-2,-10,True,False,12
45,node3-8,node3-2,-10,True,False,13
46,node3-8,node3-2,-10,True,False,12
47,node3-8,node3-2,-10,True,False,11
48,node3-8,node3-2,-10,True,False,11
49,node3-8,node3-2,-10,True,False,13
50,node3-8,node3-2,-10,True,False,13
51,node3-8,node3-2,-10,True,False,12
52,node3-8,node3-2,-10,True,False,11
53,node3-8,node3-2,-10,True,False,14
54,node3-8,node3-2,-10,True,False,11
55,node3-8,node3-2,-10,True,False,12
56,node3-8,node3-2,-10,True,False,12
57,node3-8,node3-2,-10,True,False,11
58,node3-8,node3-2,-10,True,False,12
59,node3-8,node3-2,-10,True,False,12
60,node3-8,node3-2,-10,True,False,12
61,node3-8,node3-2,-10,True,False,11
62,node3-8,node3-2,-10,True,False,10
63,node3-8,node3-2,-10,True,False,11
64,node3-8,node3-2,-10,True,False,12
65,node3-8,node3-2,-10,True,False,12
66,node3-8,node3-2,-10,True,False,12
67,node3-8,node3-2,-10,True,False,13
68,node3-8,node3-2,-10,True,False,11
69,node3-8,node3-2,-10,True,False,12
70,node3-8,node3-2,-10,True,False,11
71,node3-8,node3-2,-10,True,False,11
72,node3-8,node3-2,-10,True,False,12
73,node3-8,node3-2,-10,True,False,11
74,node3-8,node3-2,-10,True,False,11
75,node3-8,node3-2,-10,True,False,11
76,node3-8,node3-2,-10,True,False,12
77,node3-8,node3-2,-10,True,False,13
78,node3-8,node3-2,-10,True,False,13
79,node3-8,node3-2,-10,True,False,10
80,node3-8,node3-2,-10,True,False,12
81,node3-8,node3-2,-10,True,False,12
82,node3-8,node3-2,-10,True,False,12
83,node3-8,node3-2,-10,True,False,12
84,node3-8,node3-2,-10,True,False,11
85,node3-8,node3-2,-10,True,False,13
86,node3-8,node3-2,-10,True,False,11
87,node3-8,node3-2,-10,True,False,13
88,node3-8,node3-2,-10,True,False,14
89,node3-8,node3-2,-10,True,False,11
