seq,src,dst,noise,received,error,rssi
1,node3-2,node4-5,-15,True,False,20
2,node3-2,node4-5,-15,True,False,18
3,node3-2,node4-5,-15,True,False,16
4,node3-2,node4-5,-15,True,False,14
5,node3-2,node4-5,-15,True,False,15
6,node3-2,node4-5,-15,True,False,12
7,node3-2,node4-5,-15,True,False,13
8,node3-2,node4-5,-15,True,False,12
9,node3-2,node4-5,-15,True,False,11
10,node3-2,node4-5,-15,True,False,12
11,node3-2,node4-5,-15,True,False,13
12,node3-2,node4-5,-15,True,False,10
13,node3-2,node4-5,-15,True,False,12
14,node3-2,node4-5,-15,True,False,13
15,node3-2,node4-5,-15,True,False,12
16,node3-2,node4-5,-15,True,False,11
17,node3-2,node4-5,-15,True,False,12
18,node3-2,node4-5,-15,True,False,12
19,node3-2,node4-5,-15,True,False,11
20,node3-2,node4-5,-15,True,False,12
21,node3-2,node4-5,-15,True,False,13
22,node3-2,node4-5,-15,True,False,12
23,node3-2,node4-5,-15,True,False,13
24,node3-2,node4-5,-15,True,False,13
25,node3-2,node4-5,-15,True,False,14
26,node3-2,node4-5,-15,True,False,13
27,node3-2,node4-5,-15,True,False,15
28,node3-2,node4-5,-15,True,False,14
29,node3-2,node4-5,-15,True,False,12
30,node3-2,node4-5,-15,True,False,13
31,node3-2,node4-5,-15,True,False,13
32,node3-2,node4-5,-15,True,False,13
33,node3-2,node4-5,-15,True,False,13
34,node3-2,node4-5,-15,True,False,12
35,node3-2,node4-5,-15,True,False,12
36,node3-2,node4-5,-15,True,False,13
37,node3-2,node4-5,-15,True,False,14
38,node3-2,node4-5,-15,True,False,13
39,node3-2,node4-5,-15,True,False,12
40,node3-2,node4-5,-15,True,False,13
41,node3-2,node4-5,-15,True,False,13
42,node3-2,node4-5,-15,True,False,11
43,node3-2,node4-5,-15,True,False,13
44,node3-2,node4-5,-15,True,False,12
45,node3-2,node4-5,-15,True,False,14
46,node3-2,node4-5,-15,True,False,12
47,node3-2,node4-5,-15,True,False,12
48,node3-2,node4-5,-15,True,False,13
49,node3-2,node4-5,-15,True,False,11
50,node3-2,node4-5,-15,True,False,12
51,node3-2,node4-5,-15,True,False,13
52,node3-2,node4-5,-15,True,False,11
53,node3-2,node4-5,-15,True,False,12
54,node3-2,node4-5,-15,True,False,12
55,node3-2,node4-5,-15,True,False,13
56,node3-2,node4-5,-15,True,False,12
57,node3-2,node4-5,-15,True,False,12
58,node3-2,node4-5,-15,True,False,12
59,node3-2,node4-5,-15,True,False,12
60,node3-2,node4-5,-15,True,False,14
61,node3-2,node4-5,-15,True,False,15
62,node3-2,node4-5,-15,True,False,14
63,node3-2,node4-5,-15,True,False,13
64,node3-2,node4-5,-15,True,False,12
65,node3-2,node4-5,-15,True,False,13
66,node3-2,node4-5,-15,True,False,10
67,node3-2,node4-5,-15,True,False,14
68,node3-2,node4-5,-15,True,False,14
69,node3-2,node4-5,-15,True,False,14
70,node3-2,node4-5,-15,True,False,14
71,node3-2,node4-5,-15,True,False,13
72,node3-2,node4-5,-15,True,False,13
73,node3-2,node4-5,-15,True,False,13
74,node3-2,node4-5,-15,True,False,12
75,node3-2,node4-5,-15,True,False,12
76,node3-2,node4-5,-15,True,False,13
77,node3-2,node4-5,-15,True,False,12
78,node3-2,node4-5,-15,True,False,13
79,node3-2,node4-5,-15,True,False,14
80,node3-2,node4-5,-15,True,False,14
81,node3-2,node4-5,-15,True,False,12
82,node3-2,node4-5,-15,True,False,13
83,node3-2,node4-5,-15,True,False,13
84,node3-2,node4-5,-15,True,False,14
85,node3-2,node4-5,-15,True,False,13
86,node3-2,node4-5,-15,True,False,13
87,node3-2,node4-5,-15,True,False,14
88,node3-2,node4-5,-15,True,False,13
89,node3-2,node4-5,-15,True,False,14
90,node3-2,node4-5,-15,True,False,14
91,node3-2,node4-5,-15,True,False,12
92,node3-2,node4-5,-15,True,False,13
93,node3-2,node4-5,-15,True,False,13
94,node3-2,node4-5,-15,True,False,14
95,node3-2,node4-5,-15,True,False,13
96,node3-2,node4-5,-15,True,False,11
97,node3-2,node4-5,-15,True,False,14
98,node3-2,node4-5,-15,True,False,14
99,node3-2,node4-5,-15,True,False,12
100,node3-2,node4-5,-15,True,False,13
101,node3-2,node4-5,-15,True,False,13
102,node3-2,node4-5,-15,True,False,12
103,node3-2,node4-5,-15,True,False,13
104,node3-2,node4-5,-15,True,False,12
105,node3-2,node4-5,-15,True,False,12
106,node3-2,node4-5,-15,True,False,11
107,node3-2,node4-5,-15,True,False,12
108,node3-2,node4-5,-15,True,False,13
109,node3-2,node4-5,-15,True,False,13
110,node3-2,node4-5,-15,True,False,12
111,node3-2,node4-5,-15,True,False,12
112,node3-2,node4-5,-15,True,False,11
113,node3-2,node4-5,-15,True,False,13
114,node3-2,node4-5,-15,True,False,12
