seq,src,dst,noise,received,error,rssi
1,node8-5,node6-7,-20,True,False,25
2,node8-5,node6-7,-20,True,False,22
3,node8-5,node6-7,-20,True,False,19
4,node8-5,node6-7,-20,True,False,20
5,node8-5,node6-7,-20,True,False,20
6,node8-5,node6-7,-20,True,False,20
7,node8-5,node6-7,-20,True,False,21
8,node8-5,node6-7,-20,True,False,20
9,node8-5,node6-7,-20,True,False,20
10,node8-5,node6-7,-20,True,False,21
11,node8-5,node6-7,-20,True,False,19
12,node8-5,node6-7,-20,True,False,20
13,node8-5,node6-7,-20,True,False,21
14,node8-5,node6-7,-20,True,False,20
15,node8-5,node6-7,-20,True,False,21
16,node8-5,node6-7,-20,True,False,19
17,node8-5,node6-7,-20,True,False,20
18,node8-5,node6-7,-20,True,False,20
19,node8-5,node6-7,-20,True,False,21
20,node8-5,node6-7,-20,True,False,20
21,node8-5,node6-7,-20,True,False,20
22,node8-5,node6-7,-20,True,False,21
23,node8-5,node6-7,-20,True,False,20
24,node8-5,node6-7,-20,True,False,19
25,node8-5,node6-7,-20,True,False,21
26,node8-5,node6-7,-20,True,False,20
27,node8-5,node6-7,-20,True,False,21
28,node8-5,node6-7,-20,True,False,21
29,node8-5,node6-7,-20,True,False,20
30,node8-5,node6-7,-20,True,False,21
31,node8-5,node6-7,-20,True,False,20
32,node8-5,node6-7,-20,True,False,21
33,node8-5,node6-7,-20,True,False,20
34,node8-5,node6-7,-20,True,False,20
35,node8-5,node6-7,-20,True,False,20
36,node8-5,node6-7,-20,True,False,21
37,node8-5,node6-7,-20,True,False,19
38,node8-5,node6-7,-20,True,False,20
39,node8-5,node6-7,-20,True,False,20
40,node8-5,node6-7,-20,True,False,19
41,node8-5,node6-7,-20,True,False,21
42,node8-5,node6-7,-20,True,False,20
43,node8-5,node6-7,-20,True,False,21
44,node8-5,node6-7,-20,True,False,19
45,node8-5,node6-7,-20,True,False,21
46,node8-5,node6-7,-20,True,False,20
47,node8-5,node6-7,-20,True,False,20
48,node8-5,node6-7,-20,True,False,19
49,node8-5,node6-7,-20,True,False,20
50,node8-5,node6-7,-20,True,False,20
51,node8-5,node6-7,-20,True,False,21
52,node8-5,node6-7,-20,True,False,21
53,node8-5,node6-7,-20,True,False,21
54,node8-5,node6-7,-20,True,False,20
55,node8-5,node6-7,-20,True,False,20
56,node8-5,node6-7,-20,True,False,20
57,node8-5,node6-7,-20,True,False,21
58,node8-5,node6-7,-20,True,False,21
59,node8-5,node6-7,-20,True,False,21
60,node8-5,node6-7,-20,True,False,21
61,node8-5,node6-7,-20,True,False,20
62,node8-5,node6-7,-20,True,False,19
63,node8-5,node6-7,-20,True,False,21
64,node8-5,node6-7,-20,True,False,20
65,node8-5,node6-7,-20,True,False,19
66,node8-5,node6-7,-20,True,False,21
67,node8-5,node6-7,-20,True,False,20
68,node8-5,node6-7,-20,True,False,21
69,node8-5,node6-7,-20,True,False,20
70,node8-5,node6-7,-20,True,False,20
71,node8-5,node6-7,-20,True,False,20
72,node8-5,node6-7,-20,True,False,20
73,node8-5,node6-7,-20,True,False,20
74,node8-5,node6-7,-20,True,False,20
75,node8-5,node6-7,-20,True,False,21
76,node8-5,node6-7,-20,True,False,19
77,node8-5,node6-7,-20,True,False,20
78,node8-5,node6-7,-20,True,False,21
79,node8-5,node6-7,-20,True,False,20
80,node8-5,node6-7,-20,True,False,19
81,node8-5,node6-7,-20,True,False,20
82,node8-5,node6-7,-20,True,False,21
83,node8-5,node6-7,-20,True,False,20
84,node8-5,node6-7,-20,True,False,20
85,node8-5,node6-7,-20,True,False,20
86,node8-5,node6-7,-20,True,False,20
87,node8-5,node6-7,-20,True,False,20
88,node8-5,node6-7,-20,True,False,19
89,node8-5,node6-7,-20,True,False,20
90,node8-5,node6-7,-20,True,False,21
91,node8-5,node6-7,-20,True,False,21
92,node8-5,node6-7,-20,True,False,20
93,node8-5,node6-7,-20,True,False,20
94,node8-5,node6-7,-20,True,False,20
95,node8-5,node6-7,-20,True,False,20
96,node8-5,node6-7,-20,True,False,20
97,node8-5,node6-7,-20,True,False,19
98,node8-5,node6-7,-20,True,False,21
99,node8-5,node6-7,-20,True,False,20
100,node8-5,node6-7,-20,True,False,21
101,node8-5,node6-7,-20,True,False,19
102,node8-5,node6-7,-20,True,False,20
103,node8-5,node6-7,-20,True,False,20
104,node8-5,node6-7,-20,True,False,20
105,node8-5,node6-7,-20,True,False,20
106,node8-5,node6-7,-20,True,False,20
107,node8-5,node6-7,-20,True,False,20
108,node8-5,node6-7,-20,True,False,20
109,node8-5,node6-7,-20,True,False,20
110,node8-5,node6-7,-20,True,False,20
111,node8-5,node6-7,-20,True,False,19
112,node8-5,node6-7,-20,True,False,20
113,node8-5,node6-7,-20,True,False,19
114,node8-5,node6-7,-20,True,False,19
115,node8-5,node6-7,-20,True,False,20
116,node8-5,node6-7,-20,True,False,21
117,node8-5,node6-7,-20,True,False,20
118,node8-5,node6-7,-20,True,False,21
119,node8-5,node6-7,-20,True,False,21
120,node8-5,node6-7,-20,True,False,21
121,node8-5,node6-7,-20,True,False,21
122,node8-5,node6-7,-20,True,False,20
123,node8-5,node6-7,-20,True,False,19
124,node8-5,node6-7,-20,True,False,21
125,node8-5,node6-7,-20,True,False,19
126,node8-5,node6-7,-20,True,False,20
127,node8-5,node6-7,-20,True,False,20
128,node8-5,node6-7,-20,True,False,20
129,node8-5,node6-7,-20,True,False,20
130,node8-5,node6-7,-20,True,False,20
131,node8-5,node6-7,-20,True,False,20
132,node8-5,node6-7,-20,True,False,21
133,node8-5,node6-7,-20,True,False,20
134,node8-5,node6-7,-20,True,False,20
135,node8-5,node6-7,-20,True,False,20
136,node8-5,node6-7,-20,True,False,20
137,node8-5,node6-7,-20,True,False,20
138,node8-5,node6-7,-20,True,False,20
139,node8-5,node6-7,-20,True,False,20
140,node8-5,node6-7,-20,True,False,20
141,node8-5,node6-7,-20,True,False,20
142,node8-5,node6-7,-20,True,False,21
143,node8-5,node6-7,-20,True,False,20
144,node8-5,node6-7,-20,True,False,19
145,node8-5,node6-7,-20,True,False,21
146,node8-5,node6-7,-20,True,False,20
147,node8-5,node6-7,-20,True,False,20
148,node8-5,node6-7,-20,True,False,20
149,node8-5,node6-7,-20,True,False,19
150,node8-5,node6-7,-20,True,False,21
151,node8-5,node6-7,-20,True,False,20
