seq,src,dst,noise,received,error,rssi
1,node2-5,node6-5,0,True,False,11
2,node2-5,node6-5,0,True,False,9
3,node2-5,node6-5,0,True,False,5
4,node2-5,node6-5,0,True,False,6
5,node2-5,node6-5,0,True,False,7
6,node2-5,node6-5,0,True,False,7
7,node2-5,node6-5,0,True,False,6
8,node2-5,node6-5,0,True,False,6
9,node2-5,node6-5,0,True,False,7
10,node2-5,node6-5,0,True,False,7
11,node2-5,node6-5,0,True,False,6
12,node2-5,node6-5,0,True,False,6
13,node2-5,node6-5,0,True,False,8
14,node2-5,node6-5,0,True,False,7
15,node2-5,node6-5,0,True,False,5
16,node2-5,node6-5,0,True,False,7
17,node2-5,node6-5,0,True,False,6
18,node2-5,node6-5,0,True,False,6
19,node2-5,node6-5,0,True,False,7
20,node2-5,node6-5,0,True,False,7
21,node2-5,node6-5,0,True,False,7
22,node2-5,node6-5,0,True,False,7
23,node2-5,node6-5,0,True,False,7
24,node2-5,node6-5,0,True,False,6
25,node2-5,node6-5,0,True,False,6
26,node2-5,node6-5,0,True,False,5
27,node2-5,node6-5,0,True,False,6
28,node2-5,node6-5,0,True,False,6
29,node2-5,node6-5,0,True,False,7
30,node2-5,node6-5,0,True,False,6
31,node2-5,node6-5,0,True,False,6
32,node2-5,node6-5,0,True,False,6
33,node2-5,node6-5,0,True,False,6
34,node2-5,node6-5,0,True,False,7
35,node2-5,node6-5,0,True,False,7
36,node2-5,node6-5,0,True,False,7
37,node2-5,node6-5,0,True,False,6
38,node2-5,node6-5,0,True,False,6
39,node2-5,node6-5,0,True,False,6
40,node2-5,node6-5,0,True,False,8
41,node2-5,node6-5,0,True,False,6
42,node2-5,node6-5,0,True,False,7
43,node2-5,node6-5,0,True,False,6
44,node2-5,node6-5,0,True,False,7
45,node2-5,node6-5,0,True,False,8
46,node2-5,node6-5,0,True,False,5
47,node2-5,node6-5,0,True,False,7
48,node2-5,node6-5,0,True,False,7
49,node2-5,node6-5,0,True,False,7
50,node2-5,node6-5,0,True,False,6
51,node2-5,node6-5,0,True,False,6
52,node2-5,node6-5,0,True,False,5
53,node2-5,node6-5,0,True,False,7
54,node2-5,node6-5,0,True,False,6
55,node2-5,node6-5,0,True,False,6
56,node2-5,node6-5,0,True,False,7
57,node2-5,node6-5,0,True,False,5
58,node2-5,node6-5,0,True,False,7
59,node2-5,node6-5,0,True,False,5
60,node2-5,node6-5,0,True,False,7
61,node2-5,node6-5,0,True,False,6
62,node2-5,node6-5,0,True,False,7
63,node2-5,node6-5,0,True,False,4
64,node2-5,node6-5,0,True,False,6
65,node2-5,node6-5,0,True,False,6
66,node2-5,node6-5,0,True,False,7
67,node2-5,node6-5,0,True,False,7
68,node2-5,node6-5,0,True,False,7
69,node2-5,node6-5,0,True,False,7
70,node2-5,node6-5,0,True,False,7
71,node2-5,node6-5,0,True,False,6
72,node2-5,node6-5,0,True,False,7
73,node2-5,node6-5,0,True,False,6
74,node2-5,node6-5,0,True,False,6
75,node2-5,node6-5,0,True,False,5
76,node2-5,node6-5,0,True,False,6
77,node2-5,node6-5,0,True,False,6
78,node2-5,node6-5,0,True,False,6
79,node2-5,node6-5,0,True,False,7
80,node2-5,node6-5,0,True,False,6
81,node2-5,node6-5,0,True,False,7
82,node2-5,node6-5,0,True,False,5
83,node2-5,node6-5,0,True,False,7
84,node2-5,node6-5,0,True,False,5
85,node2-5,node6-5,0,True,False,7
86,node2-5,node6-5,0,True,False,5
87,node2-5,node6-5,0,True,False,6
88,node2-5,node6-5,0,True,False,7
89,node2-5,node6-5,0,True,False,7
90,node2-5,node6-5,0,True,False,7
91,node2-5,node6-5,0,True,False,8
92,node2-5,node6-5,0,True,False,7
93,node2-5,node6-5,0,True,False,6
94,node2-5,node6-5,0,True,False,5
95,node2-5,node6-5,0,True,False,7
96,node2-5,node6-5,0,True,False,7
97,node2-5,node6-5,0,True,False,6
98,node2-5,node6-5,0,True,False,6
99,node2-5,node6-5,0,True,False,5
100,node2-5,node6-5,0,True,False,6
101,node2-5,node6-5,0,True,False,6
102,node2-5,node6-5,0,True,False,5
103,node2-5,node6-5,0,True,False,6
104,node2-5,node6-5,0,True,False,7
105,node2-5,node6-5,0,True,False,5
106,node2-5,node6-5,0,True,False,8
107,node2-5,node6-5,0,True,False,6
108,node2-5,node6-5,0,True,False,7
109,node2-5,node6-5,0,True,False,7
110,node2-5,node6-5,0,True,False,5
111,node2-5,node6-5,0,True,False,6
112,node2-5,node6-5,0,True,False,6
113,node2-5,node6-5,0,True,False,7
114,node2-5,node6-5,0,True,False,5
115,node2-5,node6-5,0,True,False,7
116,node2-5,node6-5,0,True,False,7
117,node2-5,node6-5,0,True,False,6
118,node2-5,node6-5,0,True,False,7
119,node2-5,node6-5,0,True,False,6
120,node2-5,node6-5,0,True,False,7
121,node2-5,node6-5,0,True,False,7
122,node2-5,node6-5,0,True,False,6
123,node2-5,node6-5,0,True,False,7
124,node2-5,node6-5,0,True,False,6
125,node2-5,node6-5,0,True,False,6
126,node2-5,node6-5,0,True,False,6
127,node2-5,node6-5,0,True,False,6
128,node2-5,node6-5,0,True,False,6
129,node2-5,node6-5,0,True,False,7
130,node2-5,node6-5,0,True,False,7
131,node2-5,node6-5,0,True,False,7
132,node2-5,node6-5,0,True,False,7
133,node2-5,node6-5,0,True,False,5
134,node2-5,node6-5,0,True,False,6
135,node2-5,node6-5,0,True,False,6
136,node2-5,node6-5,0,True,False,6
137,node2-5,node6-5,0,True,False,6
138,node2-5,node6-5,0,True,False,5
139,node2-5,node6-5,0,True,False,7
