seq,src,dst,noise,received,error,rssi
1,node1-6,node6-1,-20,True,False,15
2,node1-6,node6-1,-20,True,False,14
3,node1-6,node6-1,-20,True,False,11
4,node1-6,node6-1,-20,True,False,10
5,node1-6,node6-1,-20,True,False,11
6,node1-6,node6-1,-20,True,False,10
7,node1-6,node6-1,-20,True,False,11
8,node1-6,node6-1,-20,True,False,11
9,node1-6,node6-1,-20,True,False,10
10,node1-6,node6-1,-20,True,False,11
11,node1-6,node6-1,-20,True,False,10
12,node1-6,node6-1,-20,True,False,11
13,node1-6,node6-1,-20,True,False,12
14,node1-6,node6-1,-20,True,False,9
15,node1-6,node6-1,-20,True,False,11
16,node1-6,node6-1,-20,True,False,12
17,node1-6,node6-1,-20,True,False,10
18,node1-6,node6-1,-20,True,False,11
19,node1-6,node6-1,-20,True,False,9
20,node1-6,node6-1,-20,True,False,10
21,node1-6,node6-1,-20,True,False,10
22,node1-6,node6-1,-20,True,False,10
23,node1-6,node6-1,-20,True,False,11
24,node1-6,node6-1,-20,True,False,10
25,node1-6,node6-1,-20,True,False,11
26,node1-6,node6-1,-20,True,False,10
27,node1-6,node6-1,-20,True,False,12
28,node1-6,node6-1,-20,True,False,11
29,node1-6,node6-1,-20,True,False,10
30,node1-6,node6-1,-20,True,False,10
31,node1-6,node6-1,-20,True,False,10
32,node1-6,node6-1,-20,True,False,11
33,node1-6,node6-1,-20,True,False,11
34,node1-6,node6-1,-20,True,False,11
35,node1-6,node6-1,-20,True,False,11
36,node1-6,node6-1,-20,True,False,9
37,node1-6,node6-1,-20,True,False,10
38,node1-6,node6-1,-20,True,False,11
39,node1-6,node6-1,-20,True,False,11
40,node1-6,node6-1,-20,True,False,10
41,node1-6,node6-1,-20,True,False,11
42,node1-6,node6-1,-20,True,False,10
43,node1-6,node6-1,-20,True,False,10
44,node1-6,node6-1,-20,True,False,10
45,node1-6,node6-1,-20,True,False,11
46,node1-6,node6-1,-20,True,False,11
47,node1-6,node6-1,-20,True,False,11
48,node1-6,node6-1,-20,True,False,12
49,node1-6,node6-1,-20,True,False,11
50,node1-6,node6-1,-20,True,False,11
51,node1-6,node6-1,-20,True,False,10
52,node1-6,node6-1,-20,True,False,10
53,node1-6,node6-1,-20,True,False,10
54,node1-6,node6-1,-20,True,False,10
55,node1-6,node6-1,-20,True,False,11
56,node1-6,node6-1,-20,True,False,11
57,node1-6,node6-1,-20,True,False,10
58,node1-6,node6-1,-20,True,False,10
59,node1-6,node6-1,-20,True,False,11
60,node1-6,node6-1,-20,True,False,10
61,node1-6,node6-1,-20,True,False,10
62,node1-6,node6-1,-20,True,False,10
63,node1-6,node6-1,-20,True,False,11
64,node1-6,node6-1,-20,True,False,11
65,node1-6,node6-1,-20,True,False,10
66,node1-6,node6-1,-20,True,False,11
67,node1-6,node6-1,-20,True,False,10
68,node1-6,node6-1,-20,True,False,11
69,node1-6,node6-1,-20,True,False,10
70,node1-6,node6-1,-20,True,False,10
71,node1-6,node6-1,-20,True,False,10
72,node1-6,node6-1,-20,True,False,10
73,node1-6,node6-1,-20,True,False,9
74,node1-6,node6-1,-20,True,False,12
75,node1-6,node6-1,-20,True,False,10
76,node1-6,node6-1,-20,True,False,10
77,node1-6,node6-1,-20,True,False,11
78,node1-6,node6-1,-20,True,False,10
79,node1-6,node6-1,-20,True,False,11
80,node1-6,node6-1,-20,True,False,11
81,node1-6,node6-1,-20,True,False,10
82,node1-6,node6-1,-20,True,False,11
83,node1-6,node6-1,-20,True,False,9
84,node1-6,node6-1,-20,True,False,10
85,node1-6,node6-1,-20,True,False,10
86,node1-6,node6-1,-20,True,False,11
87,node1-6,node6-1,-20,True,False,10
88,node1-6,node6-1,-20,True,False,9
89,node1-6,node6-1,-20,True,False,12
90,node1-6,node6-1,-20,True,False,11
91,node1-6,node6-1,-20,True,False,10
92,node1-6,node6-1,-20,True,False,10
93,node1-6,node6-1,-20,True,False,10
94,node1-6,node6-1,-20,True,False,10
95,node1-6,node6-1,-20,True,False,11
96,node1-6,node6-1,-20,True,False,10
97,node1-6,node6-1,-20,True,False,8
98,node1-6,node6-1,-20,True,False,12
99,node1-6,node6-1,-20,True,False,11
100,node1-6,node6-1,-20,True,False,10
101,node1-6,node6-1,-20,True,False,11
102,node1-6,node6-1,-20,True,False,9
103,node1-6,node6-1,-20,True,False,10
104,node1-6,node6-1,-20,True,False,10
105,node1-6,node6-1,-20,True,False,10
106,node1-6,node6-1,-20,True,False,10
107,node1-6,node6-1,-20,True,False,9
108,node1-6,node6-1,-20,True,False,11
109,node1-6,node6-1,-20,True,False,11
110,node1-6,node6-1,-20,True,False,8
111,node1-6,node6-1,-20,True,False,10
112,node1-6,node6-1,-20,True,False,11
113,node1-6,node6-1,-20,True,False,11
114,node1-6,node6-1,-20,True,False,9
115,node1-6,node6-1,-20,True,False,11
116,node1-6,node6-1,-20,True,False,10
117,node1-6,node6-1,-20,True,False,11
118,node1-6,node6-1,-20,True,False,10
119,node1-6,node6-1,-20,True,False,12
120,node1-6,node6-1,-20,True,False,11
121,node1-6,node6-1,-20,True,False,9
122,node1-6,node6-1,-20,True,False,11
123,node1-6,node6-1,-20,True,False,11
124,node1-6,node6-1,-20,True,False,11
125,node1-6,node6-1,-20,True,False,12
126,node1-6,node6-1,-20,True,False,10
127,node1-6,node6-1,-20,True,False,10
128,node1-6,node6-1,-20,True,False,12
129,node1-6,node6-1,-20,True,False,11
130,node1-6,node6-1,-20,True,False,11
131,node1-6,node6-1,-20,True,False,10
132,node1-6,node6-1,-20,True,False,12
133,node1-6,node6-1,-20,True,False,10
134,node1-6,node6-1,-20,True,False,9
135,node1-6,node6-1,-20,True,False,11
136,node1-6,node6-1,-20,True,False,10
137,node1-6,node6-1,-20,True,False,11
138,node1-6,node6-1,-20,True,False,9
139,node1-6,node6-1,-20,True,False,8
140,node1-6,node6-1,-20,True,False,9
141,node1-6,node6-1,-20,True,False,10
142,node1-6,node6-1,-20,True,False,11
143,node1-6,node6-1,-20,True,False,10
144,node1-6,node6-1,-20,True,False,9
145,node1-6,node6-1,-20,True,False,11
146,node1-6,node6-1,-20,True,False,11
147,node1-6,node6-1,-20,True,False,11
148,node1-6,node6-1,-20,True,False,10
149,node1-6,node6-1,-20,True,False,10
150,node1-6,node6-1,-20,True,False,11
151,node1-6,node6-1,-20,True,False,11
152,node1-6,node6-1,-20,True,False,11
153,node1-6,node6-1,-20,True,False,10
154,node1-6,node6-1,-20,True,False,11
155,node1-6,node6-1,-20,True,False,11
156,node1-6,node6-1,-20,True,False,11
157,node1-6,node6-1,-20,True,False,9
158,node1-6,node6-1,-20,True,False,11
159,node1-6,node6-1,-20,True,False,10
160,node1-6,node6-1,-20,True,False,11
161,node1-6,node6-1,-20,True,False,11
162,node1-6,node6-1,-20,True,False,11
163,node1-6,node6-1,-20,True,False,11
164,node1-6,node6-1,-20,True,False,10
165,node1-6,node6-1,-20,True,False,11
166,node1-6,node6-1,-20,True,False,11
167,node1-6,node6-1,-20,True,False,11
168,node1-6,node6-1,-20,True,False,10
169,node1-6,node6-1,-20,True,False,11
170,node1-6,node6-1,-20,True,False,11
171,node1-6,node6-1,-20,True,False,11
172,node1-6,node6-1,-20,True,False,10
173,node1-6,node6-1,-20,True,False,10
174,node1-6,node6-1,-20,True,False,11
175,node1-6,node6-1,-20,True,False,11
176,node1-6,node6-1,-20,True,False,10
177,node1-6,node6-1,-20,True,False,11
178,node1-6,node6-1,-20,True,False,10
179,node1-6,node6-1,-20,True,False,10
180,node1-6,node6-1,-20,True,False,11
181,node1-6,node6-1,-20,True,False,9
182,node1-6,node6-1,-20,True,False,11
183,node1-6,node6-1,-20,True,False,10
184,node1-6,node6-1,-20,True,False,9
185,node1-6,node6-1,-20,True,False,11
186,node1-6,node6-1,-20,True,False,11
187,node1-6,node6-1,-20,True,False,10
188,node1-6,node6-1,-20,True,False,9
189,node1-6,node6-1,-20,True,False,11
190,node1-6,node6-1,-20,True,False,11
191,node1-6,node6-1,-20,True,False,12
192,node1-6,node6-1,-20,True,False,11
193,node1-6,node6-1,-20,True,False,11
194,node1-6,node6-1,-20,True,False,12
195,node1-6,node6-1,-20,True,False,11
196,node1-6,node6-1,-20,True,False,10
197,node1-6,node6-1,-20,True,False,10
198,node1-6,node6-1,-20,True,False,12
199,node1-6,node6-1,-20,True,False,10
200,node1-6,node6-1,-20,True,False,11
201,node1-6,node6-1,-20,True,False,11
202,node1-6,node6-1,-20,True,False,12
203,node1-6,node6-1,-20,True,False,11
204,node1-6,node6-1,-20,True,False,11
205,node1-6,node6-1,-20,True,False,10
206,node1-6,node6-1,-20,True,False,9
207,node1-6,node6-1,-20,True,False,11
208,node1-6,node6-1,-20,True,False,11
209,node1-6,node6-1,-20,True,False,10
210,node1-6,node6-1,-20,True,False,10
211,node1-6,node6-1,-20,True,False,10
212,node1-6,node6-1,-20,True,False,10
213,node1-6,node6-1,-20,True,False,11
214,node1-6,node6-1,-20,True,False,11
215,node1-6,node6-1,-20,True,False,10
216,node1-6,node6-1,-20,True,False,11
217,node1-6,node6-1,-20,True,False,11
218,node1-6,node6-1,-20,True,False,11
219,node1-6,node6-1,-20,True,False,8
220,node1-6,node6-1,-20,True,False,11
221,node1-6,node6-1,-20,True,False,11
222,node1-6,node6-1,-20,True,False,10
223,node1-6,node6-1,-20,True,False,12
224,node1-6,node6-1,-20,True,False,11
225,node1-6,node6-1,-20,True,False,11
226,node1-6,node6-1,-20,True,False,9
227,node1-6,node6-1,-20,True,False,10
228,node1-6,node6-1,-20,True,False,10
229,node1-6,node6-1,-20,True,False,9
230,node1-6,node6-1,-20,True,False,10
231,node1-6,node6-1,-20,True,False,10
232,node1-6,node6-1,-20,True,False,10
233,node1-6,node6-1,-20,True,False,11
234,node1-6,node6-1,-20,True,False,10
235,node1-6,node6-1,-20,True,False,10
236,node1-6,node6-1,-20,True,False,10
237,node1-6,node6-1,-20,True,False,11
238,node1-6,node6-1,-20,True,False,10
239,node1-6,node6-1,-20,True,False,10
240,node1-6,node6-1,-20,True,False,10
241,node1-6,node6-1,-20,True,False,11
242,node1-6,node6-1,-20,True,False,11
243,node1-6,node6-1,-20,True,False,10
244,node1-6,node6-1,-20,True,False,11
245,node1-6,node6-1,-20,True,False,10
246,node1-6,node6-1,-20,True,False,10
247,node1-6,node6-1,-20,True,False,10
248,node1-6,node6-1,-20,True,False,11
249,node1-6,node6-1,-20,True,False,10
250,node1-6,node6-1,-20,True,False,11
251,node1-6,node6-1,-20,True,False,11
252,node1-6,node6-1,-20,True,False,12
253,node1-6,node6-1,-20,True,False,11
254,node1-6,node6-1,-20,True,False,12
255,node1-6,node6-1,-20,True,False,11
256,node1-6,node6-1,-20,True,False,10
257,node1-6,node6-1,-20,True,False,9
258,node1-6,node6-1,-20,True,False,10
259,node1-6,node6-1,-20,True,False,11
260,node1-6,node6-1,-20,True,False,12
261,node1-6,node6-1,-20,True,False,11
262,node1-6,node6-1,-20,True,False,11
263,node1-6,node6-1,-20,True,False,11
264,node1-6,node6-1,-20,True,False,11
265,node1-6,node6-1,-20,True,False,12
266,node1-6,node6-1,-20,True,False,9
267,node1-6,node6-1,-20,True,False,11
268,node1-6,node6-1,-20,True,False,11
269,node1-6,node6-1,-20,True,False,10
270,node1-6,node6-1,-20,True,False,11
271,node1-6,node6-1,-20,True,False,9
272,node1-6,node6-1,-20,True,False,11
273,node1-6,node6-1,-20,True,False,12
274,node1-6,node6-1,-20,True,False,10
275,node1-6,node6-1,-20,True,False,11
276,node1-6,node6-1,-20,True,False,11
277,node1-6,node6-1,-20,True,False,10
278,node1-6,node6-1,-20,True,False,10
279,node1-6,node6-1,-20,True,False,11
280,node1-6,node6-1,-20,True,False,10
281,node1-6,node6-1,-20,True,False,12
282,node1-6,node6-1,-20,True,False,10
283,node1-6,node6-1,-20,True,False,10
284,node1-6,node6-1,-20,True,False,10
285,node1-6,node6-1,-20,True,False,7
286,node1-6,node6-1,-20,True,False,8
287,node1-6,node6-1,-20,True,False,10
288,node1-6,node6-1,-20,True,False,11
289,node1-6,node6-1,-20,True,False,11
290,node1-6,node6-1,-20,True,False,10
291,node1-6,node6-1,-20,True,False,12
292,node1-6,node6-1,-20,True,False,11
293,node1-6,node6-1,-20,True,False,11
294,node1-6,node6-1,-20,True,False,11
295,node1-6,node6-1,-20,True,False,10
296,node1-6,node6-1,-20,True,False,10
297,node1-6,node6-1,-20,True,False,10
298,node1-6,node6-1,-20,True,False,11
299,node1-6,node6-1,-20,True,False,9
300,node1-6,node6-1,-20,True,False,9
