seq,src,dst,noise,received,error,rssi
1,node5-8,node3-4,-15,True,False,11
2,node5-8,node3-4,-15,True,False,10
3,node5-8,node3-4,-15,True,False,8
4,node5-8,node3-4,-15,True,False,9
5,node5-8,node3-4,-15,True,False,7
6,node5-8,node3-4,-15,True,False,6
7,node5-8,node3-4,-15,True,False,6
8,node5-8,node3-4,-15,True,False,8
9,node5-8,node3-4,-15,True,False,7
10,node5-8,node3-4,-15,True,False,9
11,node5-8,node3-4,-15,True,False,7
12,node5-8,node3-4,-15,True,False,9
13,node5-8,node3-4,-15,True,False,9
14,node5-8,node3-4,-15,True,False,8
15,node5-8,node3-4,-15,True,False,9
16,node5-8,node3-4,-15,True,False,8
17,node5-8,node3-4,-15,True,False,9
18,node5-8,node3-4,-15,True,False,8
19,node5-8,node3-4,-15,True,False,8
20,node5-8,node3-4,-15,True,False,7
21,node5-8,node3-4,-15,True,False,8
22,node5-8,node3-4,-15,True,False,9
23,node5-8,node3-4,-15,True,False,10
24,node5-8,node3-4,-15,True,False,8
25,node5-8,node3-4,-15,True,False,8
26,node5-8,node3-4,-15,True,False,5
27,node5-8,node3-4,-15,True,False,6
28,node5-8,node3-4,-15,True,False,6
29,node5-8,node3-4,-15,True,False,10
30,node5-8,node3-4,-15,True,False,8
31,node5-8,node3-4,-15,True,False,8
32,node5-8,node3-4,-15,True,False,9
33,node5-8,node3-4,-15,True,False,9
34,node5-8,node3-4,-15,True,False,7
35,node5-8,node3-4,-15,True,False,9
36,node5-8,node3-4,-15,True,False,7
37,node5-8,node3-4,-15,True,False,8
38,node5-8,node3-4,-15,True,False,6
39,node5-8,node3-4,-15,True,False,9
40,node5-8,node3-4,-15,True,False,8
41,node5-8,node3-4,-15,True,False,8
42,node5-8,node3-4,-15,True,False,9
43,node5-8,node3-4,-15,True,False,9
44,node5-8,node3-4,-15,True,False,9
45,node5-8,node3-4,-15,True,False,10
46,node5-8,node3-4,-15,True,False,8
47,node5-8,node3-4,-15,True,False,7
48,node5-8,node3-4,-15,True,False,9
49,node5-8,node3-4,-15,True,False,8
50,node5-8,node3-4,-15,True,False,7
51,node5-8,node3-4,-15,True,False,10
52,node5-8,node3-4,-15,True,False,8
53,node5-8,node3-4,-15,True,False,8
54,node5-8,node3-4,-15,True,False,7
55,node5-8,node3-4,-15,True,False,8
56,node5-8,node3-4,-15,True,False,9
57,node5-8,node3-4,-15,True,False,7
58,node5-8,node3-4,-15,True,False,7
59,node5-8,node3-4,-15,True,False,8
60,node5-8,node3-4,-15,True,False,7
61,node5-8,node3-4,-15,True,False,9
62,node5-8,node3-4,-15,True,False,9
63,node5-8,node3-4,-15,True,False,9
64,node5-8,node3-4,-15,True,False,9
65,node5-8,node3-4,-15,True,False,9
66,node5-8,node3-4,-15,True,False,7
67,node5-8,node3-4,-15,True,False,9
68,node5-8,node3-4,-15,True,False,9
69,node5-8,node3-4,-15,True,False,6
70,node5-8,node3-4,-15,True,False,9
71,node5-8,node3-4,-15,True,False,7
72,node5-8,node3-4,-15,True,False,9
73,node5-8,node3-4,-15,True,False,8
74,node5-8,node3-4,-15,True,False,8
75,node5-8,node3-4,-15,True,False,8
76,node5-8,node3-4,-15,True,False,9
77,node5-8,node3-4,-15,True,False,7
78,node5-8,node3-4,-15,True,False,8
79,node5-8,node3-4,-15,True,False,6
80,node5-8,node3-4,-15,True,False,9
81,node5-8,node3-4,-15,True,False,9
82,node5-8,node3-4,-15,True,False,9
83,node5-8,node3-4,-15,True,False,8
84,node5-8,node3-4,-15,True,False,8
85,node5-8,node3-4,-15,True,False,8
86,node5-8,node3-4,-15,True,False,6
87,node5-8,node3-4,-15,True,False,8
88,node5-8,node3-4,-15,True,False,9
89,node5-8,node3-4,-15,True,False,8
90,node5-8,node3-4,-15,True,False,7
91,node5-8,node3-4,-15,True,False,8
