seq,src,dst,noise,received,error,rssi
1,node6-3,node8-5,-20,True,False,25
2,node6-3,node8-5,-20,True,False,23
3,node6-3,node8-5,-20,True,False,21
4,node6-3,node8-5,-20,True,False,21
5,node6-3,node8-5,-20,True,False,20
6,node6-3,node8-5,-20,True,False,20
7,node6-3,node8-5,-20,True,False,21
8,node6-3,node8-5,-20,True,False,20
9,node6-3,node8-5,-20,True,False,21
10,node6-3,node8-5,-20,True,False,21
11,node6-3,node8-5,-20,True,False,21
12,node6-3,node8-5,-20,True,False,20
13,node6-3,node8-5,-20,True,False,20
14,node6-3,node8-5,-20,True,False,21
15,node6-3,node8-5,-20,True,False,20
16,node6-3,node8-5,-20,True,False,21
17,node6-3,node8-5,-20,True,False,21
18,node6-3,node8-5,-20,True,False,20
19,node6-3,node8-5,-20,True,False,21
20,node6-3,node8-5,-20,True,False,21
21,node6-3,node8-5,-20,True,False,20
22,node6-3,node8-5,-20,True,False,21
23,node6-3,node8-5,-20,True,False,21
24,node6-3,node8-5,-20,True,False,20
25,node6-3,node8-5,-20,True,False,21
26,node6-3,node8-5,-20,True,False,21
27,node6-3,node8-5,-20,True,False,21
28,node6-3,node8-5,-20,True,False,22
29,node6-3,node8-5,-20,True,False,20
30,node6-3,node8-5,-20,True,False,21
31,node6-3,node8-5,-20,True,False,21
32,node6-3,node8-5,-20,True,False,20
33,node6-3,node8-5,-20,True,False,19
34,node6-3,node8-5,-20,True,False,21
35,node6-3,node8-5,-20,True,False,21
36,node6-3,node8-5,-20,True,False,19
37,node6-3,node8-5,-20,True,False,21
38,node6-3,node8-5,-20,True,False,21
39,node6-3,node8-5,-20,True,False,21
40,node6-3,node8-5,-20,True,False,20
41,node6-3,node8-5,-20,True,False,21
42,node6-3,node8-5,-20,True,False,21
43,node6-3,node8-5,-20,True,False,21
44,node6-3,node8-5,-20,True,False,20
45,node6-3,node8-5,-20,True,False,21
46,node6-3,node8-5,-20,True,False,20
47,node6-3,node8-5,-20,True,False,21
48,node6-3,node8-5,-20,True,False,20
49,node6-3,node8-5,-20,True,False,21
50,node6-3,node8-5,-20,True,False,20
51,node6-3,node8-5,-20,True,False,19
52,node6-3,node8-5,-20,True,False,21
53,node6-3,node8-5,-20,True,False,20
54,node6-3,node8-5,-20,True,False,21
55,node6-3,node8-5,-20,True,False,21
56,node6-3,node8-5,-20,True,False,21
57,node6-3,node8-5,-20,True,False,21
58,node6-3,node8-5,-20,True,False,21
59,node6-3,node8-5,-20,True,False,20
60,node6-3,node8-5,-20,True,False,21
61,node6-3,node8-5,-20,True,False,21
62,node6-3,node8-5,-20,True,False,21
63,node6-3,node8-5,-20,True,False,21
64,node6-3,node8-5,-20,True,False,21
65,node6-3,node8-5,-20,True,False,21
66,node6-3,node8-5,-20,True,False,21
67,node6-3,node8-5,-20,True,False,21
68,node6-3,node8-5,-20,True,False,20
69,node6-3,node8-5,-20,True,False,21
70,node6-3,node8-5,-20,True,False,22
71,node6-3,node8-5,-20,True,False,21
72,node6-3,node8-5,-20,True,False,21
73,node6-3,node8-5,-20,True,False,20
74,node6-3,node8-5,-20,True,False,21
75,node6-3,node8-5,-20,True,False,20
76,node6-3,node8-5,-20,True,False,21
77,node6-3,node8-5,-20,True,False,20
78,node6-3,node8-5,-20,True,False,19
79,node6-3,node8-5,-20,True,False,20
80,node6-3,node8-5,-20,True,False,21
81,node6-3,node8-5,-20,True,False,21
82,node6-3,node8-5,-20,True,False,20
83,node6-3,node8-5,-20,True,False,20
84,node6-3,node8-5,-20,True,False,21
85,node6-3,node8-5,-20,True,False,21
86,node6-3,node8-5,-20,True,False,21
87,node6-3,node8-5,-20,True,False,21
88,node6-3,node8-5,-20,True,False,21
89,node6-3,node8-5,-20,True,False,21
90,node6-3,node8-5,-20,True,False,21
91,node6-3,node8-5,-20,True,False,19
92,node6-3,node8-5,-20,True,False,21
93,node6-3,node8-5,-20,True,False,21
94,node6-3,node8-5,-20,True,False,21
95,node6-3,node8-5,-20,True,False,21
96,node6-3,node8-5,-20,True,False,21
97,node6-3,node8-5,-20,True,False,20
98,node6-3,node8-5,-20,True,False,21
