seq,src,dst,noise,received,error,rssi
1,node1-8,node1-6,-5,True,False,16
2,node1-8,node1-6,-5,True,False,16
3,node1-8,node1-6,-5,True,False,15
4,node1-8,node1-6,-5,True,False,10
5,node1-8,node1-6,-5,True,False,10
6,node1-8,node1-6,-5,True,False,11
7,node1-8,node1-6,-5,True,False,10
8,node1-8,node1-6,-5,True,False,11
9,node1-8,node1-6,-5,True,False,10
10,node1-8,node1-6,-5,True,False,11
11,node1-8,node1-6,-5,True,False,10
12,node1-8,node1-6,-5,True,False,10
13,node1-8,node1-6,-5,True,False,10
14,node1-8,node1-6,-5,True,False,10
15,node1-8,node1-6,-5,True,False,10
16,node1-8,node1-6,-5,True,False,11
17,node1-8,node1-6,-5,True,False,9
18,node1-8,node1-6,-5,True,False,8
19,node1-8,node1-6,-5,True,False,11
20,node1-8,node1-6,-5,True,False,9
21,node1-8,node1-6,-5,True,False,9
22,node1-8,node1-6,-5,True,False,10
23,node1-8,node1-6,-5,True,False,11
24,node1-8,node1-6,-5,True,False,9
25,node1-8,node1-6,-5,True,False,10
26,node1-8,node1-6,-5,True,False,10
27,node1-8,node1-6,-5,True,False,10
28,node1-8,node1-6,-5,True,False,10
29,node1-8,node1-6,-5,True,False,10
30,node1-8,node1-6,-5,True,False,10
31,node1-8,node1-6,-5,True,False,10
32,node1-8,node1-6,-5,True,False,10
33,node1-8,node1-6,-5,True,False,9
34,node1-8,node1-6,-5,True,False,11
35,node1-8,node1-6,-5,True,False,9
36,node1-8,node1-6,-5,True,False,10
37,node1-8,node1-6,-5,True,False,9
38,node1-8,node1-6,-5,True,False,12
39,node1-8,node1-6,-5,True,False,11
40,node1-8,node1-6,-5,True,False,11
41,node1-8,node1-6,-5,True,False,10
42,node1-8,node1-6,-5,True,False,11
43,node1-8,node1-6,-5,True,False,10
44,node1-8,node1-6,-5,True,False,10
45,node1-8,node1-6,-5,True,False,11
46,node1-8,node1-6,-5,True,False,10
47,node1-8,node1-6,-5,True,False,10
48,node1-8,node1-6,-5,True,False,11
49,node1-8,node1-6,-5,True,False,11
50,node1-8,node1-6,-5,True,False,10
51,node1-8,node1-6,-5,True,False,12
52,node1-8,node1-6,-5,True,False,11
53,node1-8,node1-6,-5,True,False,12
54,node1-8,node1-6,-5,True,False,11
55,node1-8,node1-6,-5,True,False,10
56,node1-8,node1-6,-5,True,False,11
57,node1-8,node1-6,-5,True,False,10
58,node1-8,node1-6,-5,True,False,10
59,node1-8,node1-6,-5,True,False,11
60,node1-8,node1-6,-5,True,False,11
61,node1-8,node1-6,-5,True,False,11
62,node1-8,node1-6,-5,True,False,11
63,node1-8,node1-6,-5,True,False,10
64,node1-8,node1-6,-5,True,False,13
65,node1-8,node1-6,-5,True,False,10
66,node1-8,node1-6,-5,True,False,11
67,node1-8,node1-6,-5,True,False,9
68,node1-8,node1-6,-5,True,False,11
69,node1-8,node1-6,-5,True,False,10
70,node1-8,node1-6,-5,True,False,11
71,node1-8,node1-6,-5,True,False,10
72,node1-8,node1-6,-5,True,False,10
73,node1-8,node1-6,-5,True,False,10
74,node1-8,node1-6,-5,True,False,11
75,node1-8,node1-6,-5,True,False,9
76,node1-8,node1-6,-5,True,False,11
77,node1-8,node1-6,-5,True,False,11
78,node1-8,node1-6,-5,True,False,9
79,node1-8,node1-6,-5,True,False,10
80,node1-8,node1-6,-5,True,False,10
81,node1-8,node1-6,-5,True,False,10
82,node1-8,node1-6,-5,True,False,10
83,node1-8,node1-6,-5,True,False,10
84,node1-8,node1-6,-5,True,False,11
85,node1-8,node1-6,-5,True,False,9
86,node1-8,node1-6,-5,True,False,10
87,node1-8,node1-6,-5,True,False,11
88,node1-8,node1-6,-5,True,False,10
89,node1-8,node1-6,-5,True,False,10
90,node1-8,node1-6,-5,True,False,10
91,node1-8,node1-6,-5,True,False,10
92,node1-8,node1-6,-5,True,False,11
93,node1-8,node1-6,-5,True,False,10
94,node1-8,node1-6,-5,True,False,11
95,node1-8,node1-6,-5,True,False,10
96,node1-8,node1-6,-5,True,False,11
97,node1-8,node1-6,-5,True,False,11
98,node1-8,node1-6,-5,True,False,11
99,node1-8,node1-6,-5,True,False,10
100,node1-8,node1-6,-5,True,False,10
101,node1-8,node1-6,-5,True,False,10
102,node1-8,node1-6,-5,True,False,10
103,node1-8,node1-6,-5,True,False,10
104,node1-8,node1-6,-5,True,False,11
105,node1-8,node1-6,-5,True,False,11
106,node1-8,node1-6,-5,True,False,10
107,node1-8,node1-6,-5,True,False,11
108,node1-8,node1-6,-5,True,False,11
109,node1-8,node1-6,-5,True,False,12
110,node1-8,node1-6,-5,True,False,10
111,node1-8,node1-6,-5,True,False,10
112,node1-8,node1-6,-5,True,False,10
113,node1-8,node1-6,-5,True,False,10
114,node1-8,node1-6,-5,True,False,9
115,node1-8,node1-6,-5,True,False,10
116,node1-8,node1-6,-5,True,False,12
117,node1-8,node1-6,-5,True,False,12
118,node1-8,node1-6,-5,True,False,10
119,node1-8,node1-6,-5,True,False,9
120,node1-8,node1-6,-5,True,False,10
121,node1-8,node1-6,-5,True,False,10
122,node1-8,node1-6,-5,True,False,11
123,node1-8,node1-6,-5,True,False,9
124,node1-8,node1-6,-5,True,False,10
125,node1-8,node1-6,-5,True,False,10
126,node1-8,node1-6,-5,True,False,11
127,node1-8,node1-6,-5,True,False,10
128,node1-8,node1-6,-5,True,False,11
129,node1-8,node1-6,-5,True,False,10
130,node1-8,node1-6,-5,True,False,9
131,node1-8,node1-6,-5,True,False,10
132,node1-8,node1-6,-5,True,False,9
133,node1-8,node1-6,-5,True,False,10
134,node1-8,node1-6,-5,True,False,10
135,node1-8,node1-6,-5,True,False,11
136,node1-8,node1-6,-5,True,False,11
137,node1-8,node1-6,-5,True,False,11
138,node1-8,node1-6,-5,True,False,12
139,node1-8,node1-6,-5,True,False,10
140,node1-8,node1-6,-5,True,False,10
141,node1-8,node1-6,-5,True,False,11
142,node1-8,node1-6,-5,True,False,9
143,node1-8,node1-6,-5,True,False,11
144,node1-8,node1-6,-5,True,False,10
145,node1-8,node1-6,-5,True,False,11
146,node1-8,node1-6,-5,True,False,10
147,node1-8,node1-6,-5,True,False,10
148,node1-8,node1-6,-5,True,False,11
149,node1-8,node1-6,-5,True,False,9
150,node1-8,node1-6,-5,True,False,11
151,node1-8,node1-6,-5,True,False,10
152,node1-8,node1-6,-5,True,False,12
153,node1-8,node1-6,-5,True,False,12
154,node1-8,node1-6,-5,True,False,12
155,node1-8,node1-6,-5,True,False,10
156,node1-8,node1-6,-5,True,False,10
157,node1-8,node1-6,-5,True,False,10
158,node1-8,node1-6,-5,True,False,9
159,node1-8,node1-6,-5,True,False,9
160,node1-8,node1-6,-5,True,False,12
161,node1-8,node1-6,-5,True,False,10
162,node1-8,node1-6,-5,True,False,11
163,node1-8,node1-6,-5,True,False,11
164,node1-8,node1-6,-5,True,False,12
165,node1-8,node1-6,-5,True,False,10
166,node1-8,node1-6,-5,True,False,10
167,node1-8,node1-6,-5,True,False,10
168,node1-8,node1-6,-5,True,False,10
169,node1-8,node1-6,-5,True,False,9
170,node1-8,node1-6,-5,True,False,11
171,node1-8,node1-6,-5,True,False,10
172,node1-8,node1-6,-5,True,False,9
173,node1-8,node1-6,-5,True,False,11
174,node1-8,node1-6,-5,True,False,10
175,node1-8,node1-6,-5,True,False,11
176,node1-8,node1-6,-5,True,False,10
177,node1-8,node1-6,-5,True,False,11
178,node1-8,node1-6,-5,True,False,9
179,node1-8,node1-6,-5,True,False,11
180,node1-8,node1-6,-5,True,False,9
181,node1-8,node1-6,-5,True,False,9
182,node1-8,node1-6,-5,True,False,10
183,node1-8,node1-6,-5,True,False,10
184,node1-8,node1-6,-5,True,False,11
185,node1-8,node1-6,-5,True,False,10
186,node1-8,node1-6,-5,True,False,11
187,node1-8,node1-6,-5,True,False,11
188,node1-8,node1-6,-5,True,False,11
189,node1-8,node1-6,-5,True,False,10
190,node1-8,node1-6,-5,True,False,10
191,node1-8,node1-6,-5,True,False,12
192,node1-8,node1-6,-5,True,False,11
193,node1-8,node1-6,-5,True,False,8
194,node1-8,node1-6,-5,True,False,9
195,node1-8,node1-6,-5,True,False,10
196,node1-8,node1-6,-5,True,False,9
197,node1-8,node1-6,-5,True,False,11
198,node1-8,node1-6,-5,True,False,11
199,node1-8,node1-6,-5,True,False,9
200,node1-8,node1-6,-5,True,False,11
201,node1-8,node1-6,-5,True,False,11
202,node1-8,node1-6,-5,True,False,9
203,node1-8,node1-6,-5,True,False,10
204,node1-8,node1-6,-5,True,False,10
205,node1-8,node1-6,-5,True,False,11
206,node1-8,node1-6,-5,True,False,10
207,node1-8,node1-6,-5,True,False,11
208,node1-8,node1-6,-5,True,False,10
209,node1-8,node1-6,-5,True,False,10
210,node1-8,node1-6,-5,True,False,10
211,node1-8,node1-6,-5,True,False,10
212,node1-8,node1-6,-5,True,False,11
213,node1-8,node1-6,-5,True,False,11
214,node1-8,node1-6,-5,True,False,11
215,node1-8,node1-6,-5,True,False,9
216,node1-8,node1-6,-5,True,False,10
217,node1-8,node1-6,-5,True,False,10
218,node1-8,node1-6,-5,True,False,10
219,node1-8,node1-6,-5,True,False,9
220,node1-8,node1-6,-5,True,False,11
221,node1-8,node1-6,-5,True,False,9
222,node1-8,node1-6,-5,True,False,11
223,node1-8,node1-6,-5,True,False,10
224,node1-8,node1-6,-5,True,False,11
225,node1-8,node1-6,-5,True,False,11
226,node1-8,node1-6,-5,True,False,12
227,node1-8,node1-6,-5,True,False,12
228,node1-8,node1-6,-5,True,False,11
229,node1-8,node1-6,-5,True,False,10
230,node1-8,node1-6,-5,True,False,10
231,node1-8,node1-6,-5,True,False,10
232,node1-8,node1-6,-5,True,False,10
233,node1-8,node1-6,-5,True,False,10
234,node1-8,node1-6,-5,True,False,12
235,node1-8,node1-6,-5,True,False,10
236,node1-8,node1-6,-5,True,False,11
237,node1-8,node1-6,-5,True,False,10
238,node1-8,node1-6,-5,True,False,10
239,node1-8,node1-6,-5,True,False,9
