seq,src,dst,noise,received,error,rssi
1,node3-4,node4-7,-15,True,False,18
2,node3-4,node4-7,-15,True,False,15
3,node3-4,node4-7,-15,True,False,13
4,node3-4,node4-7,-15,True,False,13
5,node3-4,node4-7,-15,True,False,12
6,node3-4,node4-7,-15,True,False,13
7,node3-4,node4-7,-15,True,False,13
8,node3-4,node4-7,-15,True,False,12
9,node3-4,node4-7,-15,True,False,12
10,node3-4,node4-7,-15,True,False,11
11,node3-4,node4-7,-15,True,False,10
12,node3-4,node4-7,-15,True,False,11
13,node3-4,node4-7,-15,True,False,11
14,node3-4,node4-7,-15,True,False,13
15,node3-4,node4-7,-15,True,False,12
16,node3-4,node4-7,-15,True,False,12
17,node3-4,node4-7,-15,True,False,12
18,node3-4,node4-7,-15,True,False,10
19,node3-4,node4-7,-15,True,False,12
20,node3-4,node4-7,-15,True,False,13
21,node3-4,node4-7,-15,True,False,12
22,node3-4,node4-7,-15,True,False,13
23,node3-4,node4-7,-15,True,False,11
24,node3-4,node4-7,-15,True,False,11
25,node3-4,node4-7,-15,True,False,11
26,node3-4,node4-7,-15,True,False,11
27,node3-4,node4-7,-15,True,False,13
28,node3-4,node4-7,-15,True,False,12
29,node3-4,node4-7,-15,True,False,12
30,node3-4,node4-7,-15,True,False,13
31,node3-4,node4-7,-15,True,False,12
32,node3-4,node4-7,-15,True,False,12
33,node3-4,node4-7,-15,True,False,13
34,node3-4,node4-7,-15,True,False,12
35,node3-4,node4-7,-15,True,False,14
36,node3-4,node4-7,-15,True,False,11
37,node3-4,node4-7,-15,True,False,12
38,node3-4,node4-7,-15,True,False,13
39,node3-4,node4-7,-15,True,False,12
40,node3-4,node4-7,-15,True,False,12
41,node3-4,node4-7,-15,True,False,13
42,node3-4,node4-7,-15,True,False,11
43,node3-4,node4-7,-15,True,False,12
44,node3-4,node4-7,-15,True,False,12
45,node3-4,node4-7,-15,True,False,11
46,node3-4,node4-7,-15,True,False,13
47,node3-4,node4-7,-15,True,False,11
48,node3-4,node4-7,-15,True,False,10
49,node3-4,node4-7,-15,True,False,13
50,node3-4,node4-7,-15,True,False,11
51,node3-4,node4-7,-15,True,False,13
52,node3-4,node4-7,-15,True,False,12
53,node3-4,node4-7,-15,True,False,12
54,node3-4,node4-7,-15,True,False,12
55,node3-4,node4-7,-15,True,False,11
56,node3-4,node4-7,-15,True,False,12
57,node3-4,node4-7,-15,True,False,9
58,node3-4,node4-7,-15,True,False,11
59,node3-4,node4-7,-15,True,False,12
60,node3-4,node4-7,-15,True,False,12
61,node3-4,node4-7,-15,True,False,10
62,node3-4,node4-7,-15,True,False,12
63,node3-4,node4-7,-15,True,False,11
64,node3-4,node4-7,-15,True,False,12
65,node3-4,node4-7,-15,True,False,14
66,node3-4,node4-7,-15,True,False,13
67,node3-4,node4-7,-15,True,False,12
68,node3-4,node4-7,-15,True,False,11
69,node3-4,node4-7,-15,True,False,13
70,node3-4,node4-7,-15,True,False,12
71,node3-4,node4-7,-15,True,False,9
72,node3-4,node4-7,-15,True,False,13
73,node3-4,node4-7,-15,True,False,12
74,node3-4,node4-7,-15,True,False,11
75,node3-4,node4-7,-15,True,False,12
76,node3-4,node4-7,-15,True,False,13
77,node3-4,node4-7,-15,True,False,12
78,node3-4,node4-7,-15,True,False,12
79,node3-4,node4-7,-15,True,False,13
80,node3-4,node4-7,-15,True,False,13
81,node3-4,node4-7,-15,True,False,12
82,node3-4,node4-7,-15,True,False,12
83,node3-4,node4-7,-15,True,False,13
84,node3-4,node4-7,-15,True,False,13
85,node3-4,node4-7,-15,True,False,14
86,node3-4,node4-7,-15,True,False,13
87,node3-4,node4-7,-15,True,False,12
88,node3-4,node4-7,-15,True,False,11
89,node3-4,node4-7,-15,True,False,12
90,node3-4,node4-7,-15,True,False,12
91,node3-4,node4-7,-15,True,False,12
92,node3-4,node4-7,-15,True,False,13
93,node3-4,node4-7,-15,True,False,12
94,node3-4,node4-7,-15,True,False,10
95,node3-4,node4-7,-15,True,False,12
96,node3-4,node4-7,-15,True,False,13
97,node3-4,node4-7,-15,True,False,13
98,node3-4,node4-7,-15,True,False,11
99,node3-4,node4-7,-15,True,False,13
100,node3-4,node4-7,-15,True,False,13
101,node3-4,node4-7,-15,True,False,12
102,node3-4,node4-7,-15,True,False,13
103,node3-4,node4-7,-15,True,False,13
104,node3-4,node4-7,-15,True,False,13
105,node3-4,node4-7,-15,True,False,13
106,node3-4,node4-7,-15,True,False,10
107,node3-4,node4-7,-15,True,False,13
108,node3-4,node4-7,-15,True,False,12
109,node3-4,node4-7,-15,True,False,12
110,node3-4,node4-7,-15,True,False,13
111,node3-4,node4-7,-15,True,False,12
112,node3-4,node4-7,-15,True,False,12
113,node3-4,node4-7,-15,True,False,12
114,node3-4,node4-7,-15,True,False,12
115,node3-4,node4-7,-15,True,False,11
116,node3-4,node4-7,-15,True,False,10
117,node3-4,node4-7,-15,True,False,13
118,node3-4,node4-7,-15,True,False,13
119,node3-4,node4-7,-15,True,False,12
120,node3-4,node4-7,-15,True,False,13
121,node3-4,node4-7,-15,True,False,11
122,node3-4,node4-7,-15,True,False,11
123,node3-4,node4-7,-15,True,False,12
124,node3-4,node4-7,-15,True,False,11
125,node3-4,node4-7,-15,True,False,13
126,node3-4,node4-7,-15,True,False,11
127,node3-4,node4-7,-15,True,False,11
128,node3-4,node4-7,-15,True,False,13
129,node3-4,node4-7,-15,True,False,10
130,node3-4,node4-7,-15,True,False,13
131,node3-4,node4-7,-15,True,False,12
132,node3-4,node4-7,-15,True,False,13
133,node3-4,node4-7,-15,True,False,13
134,node3-4,node4-7,-15,True,False,13
135,node3-4,node4-7,-15,True,False,11
136,node3-4,node4-7,-15,True,False,12
137,node3-4,node4-7,-15,True,False,13
138,node3-4,node4-7,-15,True,False,12
139,node3-4,node4-7,-15,True,False,10
140,node3-4,node4-7,-15,True,False,13
141,node3-4,node4-7,-15,True,False,13
142,node3-4,node4-7,-15,True,False,12
143,node3-4,node4-7,-15,True,False,11
144,node3-4,node4-7,-15,True,False,12
145,node3-4,node4-7,-15,True,False,13
146,node3-4,node4-7,-15,True,False,11
147,node3-4,node4-7,-15,True,False,12
148,node3-4,node4-7,-15,True,False,13
149,node3-4,node4-7,-15,True,False,12
150,node3-4,node4-7,-15,True,False,13
151,node3-4,node4-7,-15,True,False,12
152,node3-4,node4-7,-15,True,False,11
153,node3-4,node4-7,-15,True,False,13
154,node3-4,node4-7,-15,True,False,11
155,node3-4,node4-7,-15,True,False,13
156,node3-4,node4-7,-15,True,False,10
157,node3-4,node4-7,-15,True,False,11
158,node3-4,node4-7,-15,True,False,12
159,node3-4,node4-7,-15,True,False,13
160,node3-4,node4-7,-15,True,False,12
161,node3-4,node4-7,-15,True,False,11
162,node3-4,node4-7,-15,True,False,11
163,node3-4,node4-7,-15,True,False,12
164,node3-4,node4-7,-15,True,False,13
165,node3-4,node4-7,-15,True,False,10
166,node3-4,node4-7,-15,True,False,11
167,node3-4,node4-7,-15,True,False,12
168,node3-4,node4-7,-15,True,False,11
169,node3-4,node4-7,-15,True,False,11
170,node3-4,node4-7,-15,True,False,13
171,node3-4,node4-7,-15,True,False,12
172,node3-4,node4-7,-15,True,False,12
173,node3-4,node4-7,-15,True,False,11
174,node3-4,node4-7,-15,True,False,12
