seq,src,dst,noise,received,error,rssi
1,node5-8,node1-6,-10,True,False,10
2,node5-8,node1-6,-10,True,False,10
3,node5-8,node1-6,-10,True,False,4
4,node5-8,node1-6,-10,True,False,6
5,node5-8,node1-6,-10,True,False,6
6,node5-8,node1-6,-10,True,False,5
7,node5-8,node1-6,-10,True,False,6
8,node5-8,node1-6,-10,True,False,7
9,node5-8,node1-6,-10,True,False,5
10,node5-8,node1-6,-10,True,False,5
11,node5-8,node1-6,-10,True,False,5
12,node5-8,node1-6,-10,True,False,6
13,node5-8,node1-6,-10,True,False,6
14,node5-8,node1-6,-10,True,False,6
15,node5-8,node1-6,-10,True,False,4
16,node5-8,node1-6,-10,True,False,6
17,node5-8,node1-6,-10,True,False,5
18,node5-8,node1-6,-10,True,False,5
19,node5-8,node1-6,-10,True,False,5
20,node5-8,node1-6,-10,True,False,6
21,node5-8,node1-6,-10,True,False,4
22,node5-8,node1-6,-10,True,False,4
23,node5-8,node1-6,-10,True,False,6
24,node5-8,node1-6,-10,True,False,6
25,node5-8,node1-6,-10,True,False,6
26,node5-8,node1-6,-10,True,False,3
27,node5-8,node1-6,-10,True,False,5
28,node5-8,node1-6,-10,True,False,6
29,node5-8,node1-6,-10,True,False,7
30,node5-8,node1-6,-10,True,False,6
31,node5-8,node1-6,-10,True,False,6
32,node5-8,node1-6,-10,True,False,5
33,node5-8,node1-6,-10,True,False,5
34,node5-8,node1-6,-10,True,False,6
35,node5-8,node1-6,-10,True,False,6
36,node5-8,node1-6,-10,True,False,6
37,node5-8,node1-6,-10,True,False,4
38,node5-8,node1-6,-10,True,False,7
39,node5-8,node1-6,-10,True,False,5
40,node5-8,node1-6,-10,True,False,5
41,node5-8,node1-6,-10,True,False,6
42,node5-8,node1-6,-10,True,False,4
43,node5-8,node1-6,-10,True,False,5
44,node5-8,node1-6,-10,True,False,5
45,node5-8,node1-6,-10,True,False,5
46,node5-8,node1-6,-10,True,False,5
47,node5-8,node1-6,-10,True,False,5
48,node5-8,node1-6,-10,True,False,5
49,node5-8,node1-6,-10,True,False,5
50,node5-8,node1-6,-10,True,False,6
51,node5-8,node1-6,-10,True,False,5
52,node5-8,node1-6,-10,True,False,5
53,node5-8,node1-6,-10,True,False,6
54,node5-8,node1-6,-10,True,False,6
55,node5-8,node1-6,-10,True,False,6
56,node5-8,node1-6,-10,True,False,4
57,node5-8,node1-6,-10,True,False,5
58,node5-8,node1-6,-10,True,False,3
59,node5-8,node1-6,-10,True,False,4
60,node5-8,node1-6,-10,True,False,5
61,node5-8,node1-6,-10,True,False,7
62,node5-8,node1-6,-10,True,False,5
63,node5-8,node1-6,-10,True,False,4
64,node5-8,node1-6,-10,True,False,5
65,node5-8,node1-6,-10,True,False,5
66,node5-8,node1-6,-10,True,False,6
67,node5-8,node1-6,-10,True,False,6
68,node5-8,node1-6,-10,True,False,5
69,node5-8,node1-6,-10,True,False,5
70,node5-8,node1-6,-10,True,False,3
71,node5-8,node1-6,-10,True,False,6
72,node5-8,node1-6,-10,True,False,6
73,node5-8,node1-6,-10,True,False,7
74,node5-8,node1-6,-10,True,False,5
75,node5-8,node1-6,-10,True,False,3
76,node5-8,node1-6,-10,True,False,6
77,node5-8,node1-6,-10,True,False,7
78,node5-8,node1-6,-10,True,False,6
79,node5-8,node1-6,-10,True,False,6
80,node5-8,node1-6,-10,True,False,5
81,node5-8,node1-6,-10,True,False,4
82,node5-8,node1-6,-10,True,False,5
83,node5-8,node1-6,-10,True,False,5
84,node5-8,node1-6,-10,True,False,7
85,node5-8,node1-6,-10,True,False,4
