seq,src,dst,noise,received,error,rssi
1,node4-7,node2-5,-10,True,False,16
2,node4-7,node2-5,-10,True,False,15
3,node4-7,node2-5,-10,True,False,11
4,node4-7,node2-5,-10,True,False,10
5,node4-7,node2-5,-10,True,False,8
6,node4-7,node2-5,-10,True,False,8
7,node4-7,node2-5,-10,True,False,9
8,node4-7,node2-5,-10,True,False,9
9,node4-7,node2-5,-10,True,False,8
10,node4-7,node2-5,-10,True,False,8
11,node4-7,node2-5,-10,True,False,10
12,node4-7,node2-5,-10,True,False,7
13,node4-7,node2-5,-10,True,False,9
14,node4-7,node2-5,-10,True,False,9
15,node4-7,node2-5,-10,True,False,9
16,node4-7,node2-5,-10,True,False,10
17,node4-7,node2-5,-10,True,False,8
18,node4-7,node2-5,-10,True,False,9
19,node4-7,node2-5,-10,True,False,8
20,node4-7,node2-5,-10,True,False,10
21,node4-7,node2-5,-10,True,False,8
22,node4-7,node2-5,-10,True,False,9
23,node4-7,node2-5,-10,True,False,9
24,node4-7,node2-5,-10,True,False,9
25,node4-7,node2-5,-10,True,False,7
26,node4-7,node2-5,-10,True,False,8
27,node4-7,node2-5,-10,True,False,8
28,node4-7,node2-5,-10,True,False,8
29,node4-7,node2-5,-10,True,False,8
30,node4-7,node2-5,-10,True,False,8
31,node4-7,node2-5,-10,True,False,8
32,node4-7,node2-5,-10,True,False,9
33,node4-7,node2-5,-10,True,False,9
34,node4-7,node2-5,-10,True,False,9
35,node4-7,node2-5,-10,True,False,8
36,node4-7,node2-5,-10,True,False,8
37,node4-7,node2-5,-10,True,False,9
38,node4-7,node2-5,-10,True,False,8
39,node4-7,node2-5,-10,True,False,9
40,node4-7,node2-5,-10,True,False,8
41,node4-7,node2-5,-10,True,False,9
42,node4-7,node2-5,-10,True,False,9
43,node4-7,node2-5,-10,True,False,8
44,node4-7,node2-5,-10,True,False,7
45,node4-7,node2-5,-10,True,False,7
46,node4-7,node2-5,-10,True,False,9
47,node4-7,node2-5,-10,True,False,8
48,node4-7,node2-5,-10,True,False,7
49,node4-7,node2-5,-10,True,False,8
50,node4-7,node2-5,-10,True,False,10
51,node4-7,node2-5,-10,True,False,9
52,node4-7,node2-5,-10,True,False,10
53,node4-7,node2-5,-10,True,False,9
54,node4-7,node2-5,-10,True,False,9
55,node4-7,node2-5,-10,True,False,10
56,node4-7,node2-5,-10,True,False,8
57,node4-7,node2-5,-10,True,False,9
58,node4-7,node2-5,-10,True,False,10
59,node4-7,node2-5,-10,True,False,8
60,node4-7,node2-5,-10,True,False,8
61,node4-7,node2-5,-10,True,False,10
62,node4-7,node2-5,-10,True,False,7
