seq,src,dst,noise,received,error,rssi
1,node2-1,node8-3,-5,True,False,10
2,node2-1,node8-3,-5,True,False,8
3,node2-1,node8-3,-5,True,False,4
4,node2-1,node8-3,-5,True,False,5
5,node2-1,node8-3,-5,True,False,6
6,node2-1,node8-3,-5,True,False,4
7,node2-1,node8-3,-5,True,False,5
8,node2-1,node8-3,-5,True,False,6
9,node2-1,node8-3,-5,True,False,4
10,node2-1,node8-3,-5,True,False,6
11,node2-1,node8-3,-5,True,False,1
12,node2-1,node8-3,-5,True,False,3
13,node2-1,node8-3,-5,True,False,5
14,node2-1,node8-3,-5,True,False,4
15,node2-1,node8-3,-5,True,False,5
16,node2-1,node8-3,-5,True,False,4
17,node2-1,node8-3,-5,True,False,3
18,node2-1,node8-3,-5,True,False,3
19,node2-1,node8-3,-5,True,False,6
20,node2-1,node8-3,-5,True,False,6
21,node2-1,node8-3,-5,True,False,6
22,node2-1,node8-3,-5,True,False,4
23,node2-1,node8-3,-5,True,False,5
24,node2-1,node8-3,-5,True,False,3
25,node2-1,node8-3,-5,True,False,4
26,node2-1,node8-3,-5,True,False,0
27,node2-1,node8-3,-5,True,False,4
28,node2-1,node8-3,-5,True,False,6
29,node2-1,node8-3,-5,True,False,4
30,node2-1,node8-3,-5,True,False,6
31,node2-1,node8-3,-5,True,False,4
32,node2-1,node8-3,-5,True,False,3
33,node2-1,node8-3,-5,True,False,5
34,node2-1,node8-3,-5,True,False,5
35,node2-1,node8-3,-5,True,False,3
36,node2-1,node8-3,-5,True,False,4
37,node2-1,node8-3,-5,True,False,3
38,node2-1,node8-3,-5,True,False,4
39,node2-1,node8-3,-5,True,False,3
40,node2-1,node8-3,-5,True,False,4
41,node2-1,node8-3,-5,True,False,5
42,node2-1,node8-3,-5,True,False,2
43,node2-1,node8-3,-5,True,False,6
44,node2-1,node8-3,-5,True,False,2
45,node2-1,node8-3,-5,True,False,4
46,node2-1,node8-3,-5,True,False,3
47,node2-1,node8-3,-5,True,False,3
48,node2-1,node8-3,-5,True,False,4
49,node2-1,node8-3,-5,True,False,2
50,node2-1,node8-3,-5,True,False,4
51,node2-1,node8-3,-5,True,False,4
52,node2-1,node8-3,-5,True,False,3
53,node2-1,node8-3,-5,True,False,7
54,node2-1,node8-3,-5,True,False,5
55,node2-1,node8-3,-5,True,False,6
56,node2-1,node8-3,-5,True,False,1
57,node2-1,node8-3,-5,True,False,5
58,node2-1,node8-3,-5,True,False,4
59,node2-1,node8-3,-5,True,False,5
60,node2-1,node8-3,-5,True,False,3
61,node2-1,node8-3,-5,True,False,4
62,node2-1,node8-3,-5,True,False,4
63,node2-1,node8-3,-5,True,False,5
64,node2-1,node8-3,-5,True,False,0
65,node2-1,node8-3,-5,True,False,6
66,node2-1,node8-3,-5,True,False,3
67,node2-1,node8-3,-5,True,False,3
68,node2-1,node8-3,-5,True,False,3
69,node2-1,node8-3,-5,True,False,6
70,node2-1,node8-3,-5,True,False,4
71,node2-1,node8-3,-5,True,False,3
72,node2-1,node8-3,-5,True,False,4
73,node2-1,node8-3,-5,True,False,3
74,node2-1,node8-3,-5,True,False,5
75,node2-1,node8-3,-5,True,False,4
76,node2-1,node8-3,-5,True,False,5
77,node2-1,node8-3,-5,True,False,1
78,node2-1,node8-3,-5,True,False,5
79,node2-1,node8-3,-5,True,False,3
80,node2-1,node8-3,-5,True,False,4
81,node2-1,node8-3,-5,True,False,5
