seq,src,dst,noise,received,error,rssi
1,node7-2,node1-4,-20,True,False,32
2,node7-2,node1-4,-20,True,False,31
3,node7-2,node1-4,-20,True,False,29
4,node7-2,node1-4,-20,True,False,25
5,node7-2,node1-4,-20,True,False,26
6,node7-2,node1-4,-20,True,False,26
7,node7-2,node1-4,-20,True,False,26
8,node7-2,node1-4,-20,True,False,25
9,node7-2,node1-4,-20,True,False,25
10,node7-2,node1-4,-20,True,False,26
11,node7-2,node1-4,-20,True,False,26
12,node7-2,node1-4,-20,True,False,24
13,node7-2,node1-4,-20,True,False,24
14,node7-2,node1-4,-20,True,False,25
15,node7-2,node1-4,-20,True,False,25
16,node7-2,node1-4,-20,True,False,25
17,node7-2,node1-4,-20,True,False,24
18,node7-2,node1-4,-20,True,False,26
19,node7-2,node1-4,-20,True,False,25
20,node7-2,node1-4,-20,True,False,25
21,node7-2,node1-4,-20,True,False,25
22,node7-2,node1-4,-20,True,False,25
23,node7-2,node1-4,-20,True,False,26
24,node7-2,node1-4,-20,True,False,25
25,node7-2,node1-4,-20,True,False,26
26,node7-2,node1-4,-20,True,False,25
27,node7-2,node1-4,-20,True,False,25
28,node7-2,node1-4,-20,True,False,26
29,node7-2,node1-4,-20,True,False,25
30,node7-2,node1-4,-20,True,False,27
31,node7-2,node1-4,-20,True,False,26
32,node7-2,node1-4,-20,True,False,26
33,node7-2,node1-4,-20,True,False,24
34,node7-2,node1-4,-20,True,False,24
35,node7-2,node1-4,-20,True,False,26
36,node7-2,node1-4,-20,True,False,26
37,node7-2,node1-4,-20,True,False,25
38,node7-2,node1-4,-20,True,False,25
39,node7-2,node1-4,-20,True,False,25
40,node7-2,node1-4,-20,True,False,25
41,node7-2,node1-4,-20,True,False,25
42,node7-2,node1-4,-20,True,False,24
43,node7-2,node1-4,-20,True,False,24
44,node7-2,node1-4,-20,True,False,25
45,node7-2,node1-4,-20,True,False,24
46,node7-2,node1-4,-20,True,False,25
47,node7-2,node1-4,-20,True,False,25
48,node7-2,node1-4,-20,True,False,25
49,node7-2,node1-4,-20,True,False,26
50,node7-2,node1-4,-20,True,False,25
51,node7-2,node1-4,-20,True,False,25
52,node7-2,node1-4,-20,True,False,25
53,node7-2,node1-4,-20,True,False,24
54,node7-2,node1-4,-20,True,False,25
55,node7-2,node1-4,-20,True,False,26
56,node7-2,node1-4,-20,True,False,26
57,node7-2,node1-4,-20,True,False,25
58,node7-2,node1-4,-20,True,False,23
59,node7-2,node1-4,-20,True,False,26
60,node7-2,node1-4,-20,True,False,25
61,node7-2,node1-4,-20,True,False,24
62,node7-2,node1-4,-20,True,False,25
63,node7-2,node1-4,-20,True,False,23
64,node7-2,node1-4,-20,True,False,24
65,node7-2,node1-4,-20,True,False,25
66,node7-2,node1-4,-20,True,False,24
67,node7-2,node1-4,-20,True,False,25
68,node7-2,node1-4,-20,True,False,26
69,node7-2,node1-4,-20,True,False,26
70,node7-2,node1-4,-20,True,False,25
71,node7-2,node1-4,-20,True,False,26
72,node7-2,node1-4,-20,True,False,25
73,node7-2,node1-4,-20,True,False,26
74,node7-2,node1-4,-20,True,False,24
75,node7-2,node1-4,-20,True,False,25
76,node7-2,node1-4,-20,True,False,25
77,node7-2,node1-4,-20,True,False,26
78,node7-2,node1-4,-20,True,False,25
79,node7-2,node1-4,-20,True,False,25
80,node7-2,node1-4,-20,True,False,26
81,node7-2,node1-4,-20,True,False,26
82,node7-2,node1-4,-20,True,False,27
83,node7-2,node1-4,-20,True,False,26
84,node7-2,node1-4,-20,True,False,26
85,node7-2,node1-4,-20,True,False,24
86,node7-2,node1-4,-20,True,False,26
87,node7-2,node1-4,-20,True,False,25
88,node7-2,node1-4,-20,True,False,25
89,node7-2,node1-4,-20,True,False,27
90,node7-2,node1-4,-20,True,False,24
91,node7-2,node1-4,-20,True,False,24
92,node7-2,node1-4,-20,True,False,25
93,node7-2,node1-4,-20,True,False,25
94,node7-2,node1-4,-20,True,False,25
95,node7-2,node1-4,-20,True,False,24
96,node7-2,node1-4,-20,True,False,26
97,node7-2,node1-4,-20,True,False,26
98,node7-2,node1-4,-20,True,False,26
99,node7-2,node1-4,-20,True,False,26
100,node7-2,node1-4,-20,True,False,26
101,node7-2,node1-4,-20,True,False,25
102,node7-2,node1-4,-20,True,False,26
103,node7-2,node1-4,-20,True,False,24
104,node7-2,node1-4,-20,True,False,25
105,node7-2,node1-4,-20,True,False,25
106,node7-2,node1-4,-20,True,False,25
107,node7-2,node1-4,-20,True,False,25
108,node7-2,node1-4,-20,True,False,25
109,node7-2,node1-4,-20,True,False,25
110,node7-2,node1-4,-20,True,False,26
111,node7-2,node1-4,-20,True,False,25
112,node7-2,node1-4,-20,True,False,25
113,node7-2,node1-4,-20,True,False,25
114,node7-2,node1-4,-20,True,False,25
115,node7-2,node1-4,-20,True,False,24
116,node7-2,node1-4,-20,True,False,25
117,node7-2,node1-4,-20,True,False,25
118,node7-2,node1-4,-20,True,False,25
119,node7-2,node1-4,-20,True,False,25
120,node7-2,node1-4,-20,True,False,26
121,node7-2,node1-4,-20,True,False,25
122,node7-2,node1-4,-20,True,False,26
123,node7-2,node1-4,-20,True,False,24
124,node7-2,node1-4,-20,True,False,26
125,node7-2,node1-4,-20,True,False,25
126,node7-2,node1-4,-20,True,False,25
127,node7-2,node1-4,-20,True,False,26
128,node7-2,node1-4,-20,True,False,25
129,node7-2,node1-4,-20,True,False,26
130,node7-2,node1-4,-20,True,False,25
131,node7-2,node1-4,-20,True,False,25
132,node7-2,node1-4,-20,True,False,25
133,node7-2,node1-4,-20,True,False,25
134,node7-2,node1-4,-20,True,False,26
135,node7-2,node1-4,-20,True,False,25
136,node7-2,node1-4,-20,True,False,25
137,node7-2,node1-4,-20,True,False,24
138,node7-2,node1-4,-20,True,False,26
139,node7-2,node1-4,-20,True,False,24
140,node7-2,node1-4,-20,True,False,23
141,node7-2,node1-4,-20,True,False,26
142,node7-2,node1-4,-20,True,False,25
143,node7-2,node1-4,-20,True,False,27
144,node7-2,node1-4,-20,True,False,25
145,node7-2,node1-4,-20,True,False,24
146,node7-2,node1-4,-20,True,False,25
147,node7-2,node1-4,-20,True,False,27
148,node7-2,node1-4,-20,True,False,26
149,node7-2,node1-4,-20,True,False,25
150,node7-2,node1-4,-20,True,False,24
151,node7-2,node1-4,-20,True,False,25
152,node7-2,node1-4,-20,True,False,25
153,node7-2,node1-4,-20,True,False,25
154,node7-2,node1-4,-20,True,False,25
155,node7-2,node1-4,-20,True,False,25
