seq,src,dst,noise,received,error,rssi
1,node6-1,node5-4,-5,True,False,15
2,node6-1,node5-4,-5,True,False,13
3,node6-1,node5-4,-5,True,False,10
4,node6-1,node5-4,-5,True,False,7
5,node6-1,node5-4,-5,True,False,8
6,node6-1,node5-4,-5,True,False,5
7,node6-1,node5-4,-5,True,False,8
8,node6-1,node5-4,-5,True,False,7
9,node6-1,node5-4,-5,True,False,6
10,node6-1,node5-4,-5,True,False,6
11,node6-1,node5-4,-5,True,False,6
12,node6-1,node5-4,-5,True,False,9
13,node6-1,node5-4,-5,True,False,6
14,node6-1,node5-4,-5,True,False,4
15,node6-1,node5-4,-5,True,False,6
16,node6-1,node5-4,-5,True,False,7
17,node6-1,node5-4,-5,True,False,6
18,node6-1,node5-4,-5,True,False,6
19,node6-1,node5-4,-5,True,False,7
20,node6-1,node5-4,-5,True,False,7
21,node6-1,node5-4,-5,True,False,7
22,node6-1,node5-4,-5,True,False,6
23,node6-1,node5-4,-5,True,False,9
24,node6-1,node5-4,-5,True,False,4
25,node6-1,node5-4,-5,True,False,7
26,node6-1,node5-4,-5,True,False,5
27,node6-1,node5-4,-5,True,False,7
28,node6-1,node5-4,-5,True,False,5
29,node6-1,node5-4,-5,True,False,8
30,node6-1,node5-4,-5,True,False,7
31,node6-1,node5-4,-5,True,False,6
32,node6-1,node5-4,-5,True,False,6
33,node6-1,node5-4,-5,True,False,5
34,node6-1,node5-4,-5,True,False,6
35,node6-1,node5-4,-5,True,False,6
36,node6-1,node5-4,-5,True,False,7
37,node6-1,node5-4,-5,True,False,8
38,node6-1,node5-4,-5,True,False,6
39,node6-1,node5-4,-5,True,False,8
40,node6-1,node5-4,-5,True,False,4
41,node6-1,node5-4,-5,True,False,7
42,node6-1,node5-4,-5,True,False,6
43,node6-1,node5-4,-5,True,False,5
44,node6-1,node5-4,-5,True,False,6
45,node6-1,node5-4,-5,True,False,8
46,node6-1,node5-4,-5,True,False,6
47,node6-1,node5-4,-5,True,False,7
48,node6-1,node5-4,-5,True,False,8
49,node6-1,node5-4,-5,True,False,5
50,node6-1,node5-4,-5,True,False,5
51,node6-1,node5-4,-5,True,False,4
52,node6-1,node5-4,-5,True,False,8
53,node6-1,node5-4,-5,True,False,7
54,node6-1,node5-4,-5,True,False,6
55,node6-1,node5-4,-5,True,False,7
56,node6-1,node5-4,-5,True,False,6
57,node6-1,node5-4,-5,True,False,4
58,node6-1,node5-4,-5,True,False,8
