seq,src,dst,noise,received,error,rssi
1,node5-4,node6-5,0,True,False,11
2,node5-4,node6-5,0,True,False,11
3,node5-4,node6-5,0,True,False,8
4,node5-4,node6-5,0,True,False,8
5,node5-4,node6-5,0,True,False,7
6,node5-4,node6-5,0,True,False,6
7,node5-4,node6-5,0,True,False,7
8,node5-4,node6-5,0,True,False,7
9,node5-4,node6-5,0,True,False,8
10,node5-4,node6-5,0,True,False,6
11,node5-4,node6-5,0,True,False,6
12,node5-4,node6-5,0,True,False,8
13,node5-4,node6-5,0,True,False,7
14,node5-4,node6-5,0,True,False,7
15,node5-4,node6-5,0,True,False,6
16,node5-4,node6-5,0,True,False,8
17,node5-4,node6-5,0,True,False,5
18,node5-4,node6-5,0,True,False,6
19,node5-4,node6-5,0,True,False,6
20,node5-4,node6-5,0,True,False,8
21,node5-4,node6-5,0,True,False,6
22,node5-4,node6-5,0,True,False,6
23,node5-4,node6-5,0,True,False,7
24,node5-4,node6-5,0,True,False,6
25,node5-4,node6-5,0,True,False,7
26,node5-4,node6-5,0,True,False,6
27,node5-4,node6-5,0,True,False,8
28,node5-4,node6-5,0,True,False,7
29,node5-4,node6-5,0,True,False,8
30,node5-4,node6-5,0,True,False,6
31,node5-4,node6-5,0,True,False,8
32,node5-4,node6-5,0,True,False,8
33,node5-4,node6-5,0,True,False,8
34,node5-4,node6-5,0,True,False,6
35,node5-4,node6-5,0,True,False,6
36,node5-4,node6-5,0,True,False,7
37,node5-4,node6-5,0,True,False,8
38,node5-4,node6-5,0,True,False,7
39,node5-4,node6-5,0,True,False,7
40,node5-4,node6-5,0,True,False,6
41,node5-4,node6-5,0,True,False,8
42,node5-4,node6-5,0,True,False,7
43,node5-4,node6-5,0,True,False,6
44,node5-4,node6-5,0,True,False,8
45,node5-4,node6-5,0,True,False,6
46,node5-4,node6-5,0,True,False,6
47,node5-4,node6-5,0,True,False,7
48,node5-4,node6-5,0,True,False,5
49,node5-4,node6-5,0,True,False,7
50,node5-4,node6-5,0,True,False,8
51,node5-4,node6-5,0,True,False,7
52,node5-4,node6-5,0,True,False,7
53,node5-4,node6-5,0,True,False,8
54,node5-4,node6-5,0,True,False,7
55,node5-4,node6-5,0,True,False,5
56,node5-4,node6-5,0,True,False,7
57,node5-4,node6-5,0,True,False,7
58,node5-4,node6-5,0,True,False,8
59,node5-4,node6-5,0,True,False,7
60,node5-4,node6-5,0,True,False,6
61,node5-4,node6-5,0,True,False,6
62,node5-4,node6-5,0,True,False,7
63,node5-4,node6-5,0,True,False,6
64,node5-4,node6-5,0,True,False,5
65,node5-4,node6-5,0,True,False,6
66,node5-4,node6-5,0,True,False,8
67,node5-4,node6-5,0,True,False,6
68,node5-4,node6-5,0,True,False,6
69,node5-4,node6-5,0,True,False,8
70,node5-4,node6-5,0,True,False,7
71,node5-4,node6-5,0,True,False,7
72,node5-4,node6-5,0,True,False,6
73,node5-4,node6-5,0,True,False,7
74,node5-4,node6-5,0,True,False,8
75,node5-4,node6-5,0,True,False,6
76,node5-4,node6-5,0,True,False,8
77,node5-4,node6-5,0,True,False,8
78,node5-4,node6-5,0,True,False,8
79,node5-4,node6-5,0,True,False,6
80,node5-4,node6-5,0,True,False,7
81,node5-4,node6-5,0,True,False,7
82,node5-4,node6-5,0,True,False,6
83,node5-4,node6-5,0,True,False,8
84,node5-4,node6-5,0,True,False,6
85,node5-4,node6-5,0,True,False,7
86,node5-4,node6-5,0,True,False,6
87,node5-4,node6-5,0,True,False,7
88,node5-4,node6-5,0,True,False,7
89,node5-4,node6-5,0,True,False,7
90,node5-4,node6-5,0,True,False,6
91,node5-4,node6-5,0,True,False,8
92,node5-4,node6-5,0,True,False,7
93,node5-4,node6-5,0,True,False,8
94,node5-4,node6-5,0,True,False,7
95,node5-4,node6-5,0,True,False,6
96,node5-4,node6-5,0,True,False,6
97,node5-4,node6-5,0,True,False,6
98,node5-4,node6-5,0,True,False,7
99,node5-4,node6-5,0,True,False,7
100,node5-4,node6-5,0,True,False,9
101,node5-4,node6-5,0,True,False,7
102,node5-4,node6-5,0,True,False,7
103,node5-4,node6-5,0,True,False,7
104,node5-4,node6-5,0,True,False,6
105,node5-4,node6-5,0,True,False,6
106,node5-4,node6-5,0,True,False,7
107,node5-4,node6-5,0,True,False,7
108,node5-4,node6-5,0,True,False,8
109,node5-4,node6-5,0,True,False,8
110,node5-4,node6-5,0,True,False,7
111,node5-4,node6-5,0,True,False,6
112,node5-4,node6-5,0,True,False,7
113,node5-4,node6-5,0,True,False,5
114,node5-4,node6-5,0,True,False,8
115,node5-4,node6-5,0,True,False,7
116,node5-4,node6-5,0,True,False,7
117,node5-4,node6-5,0,True,False,7
118,node5-4,node6-5,0,True,False,7
119,node5-4,node6-5,0,True,False,7
120,node5-4,node6-5,0,True,False,5
121,node5-4,node6-5,0,True,False,6
122,node5-4,node6-5,0,True,False,7
123,node5-4,node6-5,0,True,False,7
124,node5-4,node6-5,0,True,False,8
125,node5-4,node6-5,0,True,False,8
126,node5-4,node6-5,0,True,False,7
127,node5-4,node6-5,0,True,False,5
128,node5-4,node6-5,0,True,False,7
129,node5-4,node6-5,0,True,False,8
130,node5-4,node6-5,0,True,False,7
131,node5-4,node6-5,0,True,False,5
132,node5-4,node6-5,0,True,False,7
133,node5-4,node6-5,0,True,False,7
134,node5-4,node6-5,0,True,False,8
135,node5-4,node6-5,0,True,False,7
136,node5-4,node6-5,0,True,False,7
137,node5-4,node6-5,0,True,False,7
138,node5-4,node6-5,0,True,False,7
139,node5-4,node6-5,0,True,False,7
140,node5-4,node6-5,0,True,False,6
141,node5-4,node6-5,0,True,False,7
142,node5-4,node6-5,0,True,False,8
143,node5-4,node6-5,0,True,False,8
144,node5-4,node6-5,0,True,False,7
145,node5-4,node6-5,0,True,False,7
146,node5-4,node6-5,0,True,False,6
147,node5-4,node6-5,0,True,False,6
148,node5-4,node6-5,0,True,False,6
149,node5-4,node6-5,0,True,False,6
150,node5-4,node6-5,0,True,False,8
151,node5-4,node6-5,0,True,False,6
152,node5-4,node6-5,0,True,False,8
153,node5-4,node6-5,0,True,False,8
154,node5-4,node6-5,0,True,False,6
155,node5-4,node6-5,0,True,False,6
156,node5-4,node6-5,0,True,False,8
157,node5-4,node6-5,0,True,False,6
158,node5-4,node6-5,0,True,False,6
159,node5-4,node6-5,0,True,False,7
160,node5-4,node6-5,0,True,False,7
161,node5-4,node6-5,0,True,False,6
162,node5-4,node6-5,0,True,False,8
163,node5-4,node6-5,0,True,False,7
164,node5-4,node6-5,0,True,False,7
165,node5-4,node6-5,0,True,False,6
166,node5-4,node6-5,0,True,False,8
167,node5-4,node6-5,0,True,False,7
168,node5-4,node6-5,0,True,False,7
169,node5-4,node6-5,0,True,False,8
170,node5-4,node6-5,0,True,False,7
171,node5-4,node6-5,0,True,False,7
172,node5-4,node6-5,0,True,False,8
173,node5-4,node6-5,0,True,False,7
174,node5-4,node6-5,0,True,False,6
175,node5-4,node6-5,0,True,False,6
176,node5-4,node6-5,0,True,False,7
177,node5-4,node6-5,0,True,False,5
178,node5-4,node6-5,0,True,False,7
179,node5-4,node6-5,0,True,False,8
180,node5-4,node6-5,0,True,False,6
181,node5-4,node6-5,0,True,False,5
182,node5-4,node6-5,0,True,False,7
183,node5-4,node6-5,0,True,False,7
184,node5-4,node6-5,0,True,False,7
185,node5-4,node6-5,0,True,False,8
186,node5-4,node6-5,0,True,False,8
187,node5-4,node6-5,0,True,False,7
188,node5-4,node6-5,0,True,False,6
189,node5-4,node6-5,0,True,False,5
190,node5-4,node6-5,0,True,False,5
191,node5-4,node6-5,0,True,False,7
192,node5-4,node6-5,0,True,False,7
193,node5-4,node6-5,0,True,False,7
194,node5-4,node6-5,0,True,False,8
195,node5-4,node6-5,0,True,False,6
196,node5-4,node6-5,0,True,False,7
197,node5-4,node6-5,0,True,False,8
198,node5-4,node6-5,0,True,False,5
199,node5-4,node6-5,0,True,False,6
200,node5-4,node6-5,0,True,False,6
201,node5-4,node6-5,0,True,False,7
202,node5-4,node6-5,0,True,False,6
203,node5-4,node6-5,0,True,False,6
204,node5-4,node6-5,0,True,False,6
205,node5-4,node6-5,0,True,False,8
206,node5-4,node6-5,0,True,False,7
207,node5-4,node6-5,0,True,False,8
208,node5-4,node6-5,0,True,False,7
209,node5-4,node6-5,0,True,False,6
210,node5-4,node6-5,0,True,False,7
211,node5-4,node6-5,0,True,False,7
212,node5-4,node6-5,0,True,False,7
213,node5-4,node6-5,0,True,False,7
214,node5-4,node6-5,0,True,False,8
215,node5-4,node6-5,0,True,False,7
216,node5-4,node6-5,0,True,False,7
217,node5-4,node6-5,0,True,False,7
218,node5-4,node6-5,0,True,False,7
219,node5-4,node6-5,0,True,False,5
220,node5-4,node6-5,0,True,False,6
221,node5-4,node6-5,0,True,False,8
222,node5-4,node6-5,0,True,False,6
223,node5-4,node6-5,0,True,False,7
224,node5-4,node6-5,0,True,False,8
225,node5-4,node6-5,0,True,False,7
226,node5-4,node6-5,0,True,False,6
227,node5-4,node6-5,0,True,False,6
228,node5-4,node6-5,0,True,False,7
229,node5-4,node6-5,0,True,False,8
230,node5-4,node6-5,0,True,False,6
231,node5-4,node6-5,0,True,False,8
232,node5-4,node6-5,0,True,False,7
233,node5-4,node6-5,0,True,False,7
234,node5-4,node6-5,0,True,False,6
235,node5-4,node6-5,0,True,False,8
236,node5-4,node6-5,0,True,False,7
237,node5-4,node6-5,0,True,False,7
238,node5-4,node6-5,0,True,False,8
239,node5-4,node6-5,0,True,False,8
240,node5-4,node6-5,0,True,False,6
241,node5-4,node6-5,0,True,False,7
242,node5-4,node6-5,0,True,False,8
243,node5-4,node6-5,0,True,False,6
244,node5-4,node6-5,0,True,False,7
245,node5-4,node6-5,0,True,False,8
246,node5-4,node6-5,0,True,False,5
247,node5-4,node6-5,0,True,False,7
248,node5-4,node6-5,0,True,False,7
249,node5-4,node6-5,0,True,False,8
250,node5-4,node6-5,0,True,False,7
251,node5-4,node6-5,0,True,False,8
252,node5-4,node6-5,0,True,False,8
253,node5-4,node6-5,0,True,False,7
254,node5-4,node6-5,0,True,False,7
255,node5-4,node6-5,0,True,False,7
256,node5-4,node6-5,0,True,False,6
257,node5-4,node6-5,0,True,False,7
258,node5-4,node6-5,0,True,False,7
259,node5-4,node6-5,0,True,False,7
260,node5-4,node6-5,0,True,False,7
261,node5-4,node6-5,0,True,False,6
262,node5-4,node6-5,0,True,False,7
263,node5-4,node6-5,0,True,False,7
264,node5-4,node6-5,0,True,False,5
265,node5-4,node6-5,0,True,False,6
266,node5-4,node6-5,0,True,False,7
267,node5-4,node6-5,0,True,False,7
268,node5-4,node6-5,0,True,False,7
269,node5-4,node6-5,0,True,False,7
270,node5-4,node6-5,0,True,False,7
271,node5-4,node6-5,0,True,False,7
272,node5-4,node6-5,0,True,False,7
273,node5-4,node6-5,0,True,False,8
274,node5-4,node6-5,0,True,False,8
275,node5-4,node6-5,0,True,False,6
276,node5-4,node6-5,0,True,False,8
277,node5-4,node6-5,0,True,False,5
278,node5-4,node6-5,0,True,False,7
279,node5-4,node6-5,0,True,False,7
280,node5-4,node6-5,0,True,False,8
281,node5-4,node6-5,0,True,False,7
282,node5-4,node6-5,0,True,False,7
283,node5-4,node6-5,0,True,False,7
284,node5-4,node6-5,0,True,False,7
285,node5-4,node6-5,0,True,False,5
286,node5-4,node6-5,0,True,False,6
287,node5-4,node6-5,0,True,False,8
288,node5-4,node6-5,0,True,False,6
289,node5-4,node6-5,0,True,False,8
290,node5-4,node6-5,0,True,False,7
291,node5-4,node6-5,0,True,False,8
292,node5-4,node6-5,0,True,False,7
293,node5-4,node6-5,0,True,False,6
294,node5-4,node6-5,0,True,False,6
295,node5-4,node6-5,0,True,False,5
296,node5-4,node6-5,0,True,False,7
297,node5-4,node6-5,0,True,False,7
298,node5-4,node6-5,0,True,False,7
299,node5-4,node6-5,0,True,False,8
300,node5-4,node6-5,0,True,False,7
