seq,src,dst,noise,received,error,rssi
1,node3-2,node1-4,-5,True,False,13
2,node3-2,node1-4,-5,True,False,12
3,node3-2,node1-4,-5,True,False,9
4,node3-2,node1-4,-5,True,False,9
5,node3-2,node1-4,-5,True,False,7
6,node3-2,node1-4,-5,True,False,5
7,node3-2,node1-4,-5,True,False,8
8,node3-2,node1-4,-5,True,False,7
9,node3-2,node1-4,-5,True,False,5
10,node3-2,node1-4,-5,True,False,6
11,node3-2,node1-4,-5,True,False,7
12,node3-2,node1-4,-5,True,False,8
13,node3-2,node1-4,-5,True,False,6
14,node3-2,node1-4,-5,True,False,9
15,node3-2,node1-4,-5,True,False,7
16,node3-2,node1-4,-5,True,False,7
17,node3-2,node1-4,-5,True,False,9
18,node3-2,node1-4,-5,True,False,6
19,node3-2,node1-4,-5,True,False,6
20,node3-2,node1-4,-5,True,False,7
21,node3-2,node1-4,-5,True,False,7
22,node3-2,node1-4,-5,True,False,6
23,node3-2,node1-4,-5,True,False,6
24,node3-2,node1-4,-5,True,False,7
25,node3-2,node1-4,-5,True,False,7
26,node3-2,node1-4,-5,True,False,7
27,node3-2,node1-4,-5,True,False,7
28,node3-2,node1-4,-5,True,False,5
29,node3-2,node1-4,-5,True,False,7
30,node3-2,node1-4,-5,True,False,8
31,node3-2,node1-4,-5,True,False,6
32,node3-2,node1-4,-5,True,False,5
33,node3-2,node1-4,-5,True,False,7
34,node3-2,node1-4,-5,True,False,8
35,node3-2,node1-4,-5,True,False,6
36,node3-2,node1-4,-5,True,False,6
37,node3-2,node1-4,-5,True,False,7
38,node3-2,node1-4,-5,True,False,7
39,node3-2,node1-4,-5,True,False,7
40,node3-2,node1-4,-5,True,False,8
41,node3-2,node1-4,-5,True,False,8
42,node3-2,node1-4,-5,True,False,7
43,node3-2,node1-4,-5,True,False,5
44,node3-2,node1-4,-5,True,False,6
45,node3-2,node1-4,-5,True,False,6
46,node3-2,node1-4,-5,True,False,7
47,node3-2,node1-4,-5,True,False,7
48,node3-2,node1-4,-5,True,False,7
49,node3-2,node1-4,-5,True,False,7
50,node3-2,node1-4,-5,True,False,8
51,node3-2,node1-4,-5,True,False,7
52,node3-2,node1-4,-5,True,False,7
53,node3-2,node1-4,-5,True,False,6
54,node3-2,node1-4,-5,True,False,7
55,node3-2,node1-4,-5,True,False,7
56,node3-2,node1-4,-5,True,False,5
57,node3-2,node1-4,-5,True,False,7
58,node3-2,node1-4,-5,True,False,6
59,node3-2,node1-4,-5,True,False,6
60,node3-2,node1-4,-5,True,False,7
61,node3-2,node1-4,-5,True,False,7
62,node3-2,node1-4,-5,True,False,7
63,node3-2,node1-4,-5,True,False,5
64,node3-2,node1-4,-5,True,False,8
65,node3-2,node1-4,-5,True,False,7
66,node3-2,node1-4,-5,True,False,8
67,node3-2,node1-4,-5,True,False,8
68,node3-2,node1-4,-5,True,False,5
69,node3-2,node1-4,-5,True,False,7
70,node3-2,node1-4,-5,True,False,7
71,node3-2,node1-4,-5,True,False,7
72,node3-2,node1-4,-5,True,False,7
73,node3-2,node1-4,-5,True,False,7
74,node3-2,node1-4,-5,True,False,7
75,node3-2,node1-4,-5,True,False,8
76,node3-2,node1-4,-5,True,False,6
77,node3-2,node1-4,-5,True,False,8
78,node3-2,node1-4,-5,True,False,7
79,node3-2,node1-4,-5,True,False,8
80,node3-2,node1-4,-5,True,False,6
81,node3-2,node1-4,-5,True,False,7
82,node3-2,node1-4,-5,True,False,6
83,node3-2,node1-4,-5,True,False,6
84,node3-2,node1-4,-5,True,False,6
85,node3-2,node1-4,-5,True,False,5
86,node3-2,node1-4,-5,True,False,7
87,node3-2,node1-4,-5,True,False,5
88,node3-2,node1-4,-5,True,False,7
89,node3-2,node1-4,-5,True,False,7
90,node3-2,node1-4,-5,True,False,8
91,node3-2,node1-4,-5,True,False,8
92,node3-2,node1-4,-5,True,False,6
93,node3-2,node1-4,-5,True,False,6
