seq,src,dst,noise,received,error,rssi
1,node6-5,node3-4,-10,True,False,11
2,node6-5,node3-4,-10,True,False,10
3,node6-5,node3-4,-10,True,False,8
4,node6-5,node3-4,-10,True,False,6
5,node6-5,node3-4,-10,True,False,9
6,node6-5,node3-4,-10,True,False,8
7,node6-5,node3-4,-10,True,False,9
8,node6-5,node3-4,-10,True,False,6
9,node6-5,node3-4,-10,True,False,9
10,node6-5,node3-4,-10,True,False,7
11,node6-5,node3-4,-10,True,False,7
12,node6-5,node3-4,-10,True,False,8
13,node6-5,node3-4,-10,True,False,8
14,node6-5,node3-4,-10,True,False,5
15,node6-5,node3-4,-10,True,False,10
16,node6-5,node3-4,-10,True,False,7
17,node6-5,node3-4,-10,True,False,7
18,node6-5,node3-4,-10,True,False,7
19,node6-5,node3-4,-10,True,False,7
20,node6-5,node3-4,-10,True,False,7
21,node6-5,node3-4,-10,True,False,7
22,node6-5,node3-4,-10,True,False,8
23,node6-5,node3-4,-10,True,False,7
24,node6-5,node3-4,-10,True,False,7
25,node6-5,node3-4,-10,True,False,7
26,node6-5,node3-4,-10,True,False,7
27,node6-5,node3-4,-10,True,False,6
28,node6-5,node3-4,-10,True,False,8
29,node6-5,node3-4,-10,True,False,8
30,node6-5,node3-4,-10,True,False,8
31,node6-5,node3-4,-10,True,False,8
32,node6-5,node3-4,-10,True,False,7
33,node6-5,node3-4,-10,True,False,9
34,node6-5,node3-4,-10,True,False,7
35,node6-5,node3-4,-10,True,False,6
36,node6-5,node3-4,-10,True,False,7
37,node6-5,node3-4,-10,True,False,9
38,node6-5,node3-4,-10,True,False,7
39,node6-5,node3-4,-10,True,False,7
40,node6-5,node3-4,-10,True,False,8
41,node6-5,node3-4,-10,True,False,7
42,node6-5,node3-4,-10,True,False,9
43,node6-5,node3-4,-10,True,False,8
44,node6-5,node3-4,-10,True,False,8
45,node6-5,node3-4,-10,True,False,6
46,node6-5,node3-4,-10,True,False,7
47,node6-5,node3-4,-10,True,False,7
48,node6-5,node3-4,-10,True,False,7
49,node6-5,node3-4,-10,True,False,11
50,node6-5,node3-4,-10,True,False,7
51,node6-5,node3-4,-10,True,False,7
52,node6-5,node3-4,-10,True,False,7
53,node6-5,node3-4,-10,True,False,7
54,node6-5,node3-4,-10,True,False,7
55,node6-5,node3-4,-10,True,False,6
56,node6-5,node3-4,-10,True,False,6
57,node6-5,node3-4,-10,True,False,7
58,node6-5,node3-4,-10,True,False,5
59,node6-5,node3-4,-10,True,False,7
60,node6-5,node3-4,-10,True,False,9
61,node6-5,node3-4,-10,True,False,8
62,node6-5,node3-4,-10,True,False,10
63,node6-5,node3-4,-10,True,False,8
64,node6-5,node3-4,-10,True,False,6
65,node6-5,node3-4,-10,True,False,9
66,node6-5,node3-4,-10,True,False,7
67,node6-5,node3-4,-10,True,False,7
68,node6-5,node3-4,-10,True,False,8
69,node6-5,node3-4,-10,True,False,6
70,node6-5,node3-4,-10,True,False,8
71,node6-5,node3-4,-10,True,False,8
72,node6-5,node3-4,-10,True,False,7
73,node6-5,node3-4,-10,True,False,6
74,node6-5,node3-4,-10,True,False,9
75,node6-5,node3-4,-10,True,False,6
76,node6-5,node3-4,-10,True,False,7
77,node6-5,node3-4,-10,True,False,7
78,node6-5,node3-4,-10,True,False,9
79,node6-5,node3-4,-10,True,False,7
80,node6-5,node3-4,-10,True,False,9
81,node6-5,node3-4,-10,True,False,7
82,node6-5,node3-4,-10,True,False,7
83,node6-5,node3-4,-10,True,False,8
84,node6-5,node3-4,-10,True,False,7
85,node6-5,node3-4,-10,True,False,8
86,node6-5,node3-4,-10,True,False,8
87,node6-5,node3-4,-10,True,False,7
88,node6-5,node3-4,-10,True,False,9
89,node6-5,node3-4,-10,True,False,7
90,node6-5,node3-4,-10,True,False,8
91,node6-5,node3-4,-10,True,False,8
92,node6-5,node3-4,-10,True,False,8
93,node6-5,node3-4,-10,True,False,7
94,node6-5,node3-4,-10,True,False,8
95,node6-5,node3-4,-10,True,False,7
96,node6-5,node3-4,-10,True,False,7
97,node6-5,node3-4,-10,True,False,8
98,node6-5,node3-4,-10,True,False,7
99,node6-5,node3-4,-10,True,False,7
100,node6-5,node3-4,-10,True,False,8
101,node6-5,node3-4,-10,True,False,8
102,node6-5,node3-4,-10,True,False,7
103,node6-5,node3-4,-10,True,False,8
104,node6-5,node3-4,-10,True,False,5
105,node6-5,node3-4,-10,True,False,7
106,node6-5,node3-4,-10,True,False,6
107,node6-5,node3-4,-10,True,False,8
108,node6-5,node3-4,-10,True,False,6
109,node6-5,node3-4,-10,True,False,6
110,node6-5,node3-4,-10,True,False,8
111,node6-5,node3-4,-10,True,False,9
112,node6-5,node3-4,-10,True,False,8
113,node6-5,node3-4,-10,True,False,7
114,node6-5,node3-4,-10,True,False,8
115,node6-5,node3-4,-10,True,False,8
116,node6-5,node3-4,-10,True,False,7
