seq,src,dst,noise,received,error,rssi
1,node5-8,node6-3,-5,True,False,8
2,node5-8,node6-3,-5,True,False,9
3,node5-8,node6-3,-5,True,False,6
4,node5-8,node6-3,-5,True,False,7
5,node5-8,node6-3,-5,True,False,7
6,node5-8,node6-3,-5,True,False,4
7,node5-8,node6-3,-5,True,False,5
8,node5-8,node6-3,-5,True,False,6
9,node5-8,node6-3,-5,True,False,6
10,node5-8,node6-3,-5,True,False,4
11,node5-8,node6-3,-5,True,False,7
12,node5-8,node6-3,-5,True,False,8
13,node5-8,node6-3,-5,True,False,6
14,node5-8,node6-3,-5,True,False,5
15,node5-8,node6-3,-5,True,False,6
16,node5-8,node6-3,-5,True,False,6
17,node5-8,node6-3,-5,True,False,6
18,node5-8,node6-3,-5,True,False,8
19,node5-8,node6-3,-5,True,False,8
20,node5-8,node6-3,-5,True,False,5
21,node5-8,node6-3,-5,True,False,5
22,node5-8,node6-3,-5,True,False,6
23,node5-8,node6-3,-5,True,False,6
24,node5-8,node6-3,-5,True,False,8
25,node5-8,node6-3,-5,True,False,5
26,node5-8,node6-3,-5,True,False,7
27,node5-8,node6-3,-5,True,False,7
28,node5-8,node6-3,-5,True,False,6
29,node5-8,node6-3,-5,True,False,6
30,node5-8,node6-3,-5,True,False,5
31,node5-8,node6-3,-5,True,False,6
32,node5-8,node6-3,-5,True,False,5
33,node5-8,node6-3,-5,True,False,7
34,node5-8,node6-3,-5,True,False,7
35,node5-8,node6-3,-5,True,False,5
36,node5-8,node6-3,-5,True,False,6
37,node5-8,node6-3,-5,True,False,6
38,node5-8,node6-3,-5,True,False,7
39,node5-8,node6-3,-5,True,False,5
40,node5-8,node6-3,-5,True,False,5
41,node5-8,node6-3,-5,True,False,6
42,node5-8,node6-3,-5,True,False,7
43,node5-8,node6-3,-5,True,False,4
44,node5-8,node6-3,-5,True,False,3
45,node5-8,node6-3,-5,True,False,6
46,node5-8,node6-3,-5,True,False,6
47,node5-8,node6-3,-5,True,False,4
48,node5-8,node6-3,-5,True,False,7
49,node5-8,node6-3,-5,True,False,7
50,node5-8,node6-3,-5,True,False,6
51,node5-8,node6-3,-5,True,False,7
52,node5-8,node6-3,-5,True,False,7
53,node5-8,node6-3,-5,True,False,6
54,node5-8,node6-3,-5,True,False,8
55,node5-8,node6-3,-5,True,False,5
56,node5-8,node6-3,-5,True,False,5
57,node5-8,node6-3,-5,True,False,6
58,node5-8,node6-3,-5,True,False,6
59,node5-8,node6-3,-5,True,False,7
60,node5-8,node6-3,-5,True,False,5
61,node5-8,node6-3,-5,True,False,5
62,node5-8,node6-3,-5,True,False,6
63,node5-8,node6-3,-5,True,False,6
64,node5-8,node6-3,-5,True,False,6
65,node5-8,node6-3,-5,True,False,7
66,node5-8,node6-3,-5,True,False,6
67,node5-8,node6-3,-5,True,False,5
68,node5-8,node6-3,-5,True,False,6
69,node5-8,node6-3,-5,True,False,6
70,node5-8,node6-3,-5,True,False,7
71,node5-8,node6-3,-5,True,False,6
72,node5-8,node6-3,-5,True,False,7
73,node5-8,node6-3,-5,True,False,6
74,node5-8,node6-3,-5,True,False,8
75,node5-8,node6-3,-5,True,False,7
76,node5-8,node6-3,-5,True,False,6
77,node5-8,node6-3,-5,True,False,6
78,node5-8,node6-3,-5,True,False,5
79,node5-8,node6-3,-5,True,False,6
80,node5-8,node6-3,-5,True,False,6
81,node5-8,node6-3,-5,True,False,7
82,node5-8,node6-3,-5,True,False,6
83,node5-8,node6-3,-5,True,False,7
84,node5-8,node6-3,-5,True,False,6
85,node5-8,node6-3,-5,True,False,5
86,node5-8,node6-3,-5,True,False,6
87,node5-8,node6-3,-5,True,False,5
88,node5-8,node6-3,-5,True,False,7
89,node5-8,node6-3,-5,True,False,7
90,node5-8,node6-3,-5,True,False,6
91,node5-8,node6-3,-5,True,False,5
92,node5-8,node6-3,-5,True,False,6
93,node5-8,node6-3,-5,True,False,7
94,node5-8,node6-3,-5,True,False,5
95,node5-8,node6-3,-5,True,False,6
96,node5-8,node6-3,-5,True,False,7
97,node5-8,node6-3,-5,True,False,6
98,node5-8,node6-3,-5,True,False,6
99,node5-8,node6-3,-5,True,False,4
100,node5-8,node6-3,-5,True,False,5
101,node5-8,node6-3,-5,True,False,6
102,node5-8,node6-3,-5,True,False,7
103,node5-8,node6-3,-5,True,False,6
104,node5-8,node6-3,-5,True,False,7
105,node5-8,node6-3,-5,True,False,5
106,node5-8,node6-3,-5,True,False,4
107,node5-8,node6-3,-5,True,False,6
108,node5-8,node6-3,-5,True,False,5
109,node5-8,node6-3,-5,True,False,6
110,node5-8,node6-3,-5,True,False,7
111,node5-8,node6-3,-5,True,False,6
112,node5-8,node6-3,-5,True,False,6
113,node5-8,node6-3,-5,True,False,7
114,node5-8,node6-3,-5,True,False,6
115,node5-8,node6-3,-5,True,False,8
116,node5-8,node6-3,-5,True,False,7
117,node5-8,node6-3,-5,True,False,6
118,node5-8,node6-3,-5,True,False,7
119,node5-8,node6-3,-5,True,False,6
120,node5-8,node6-3,-5,True,False,5
121,node5-8,node6-3,-5,True,False,6
122,node5-8,node6-3,-5,True,False,6
123,node5-8,node6-3,-5,True,False,7
124,node5-8,node6-3,-5,True,False,6
125,node5-8,node6-3,-5,True,False,6
126,node5-8,node6-3,-5,True,False,7
127,node5-8,node6-3,-5,True,False,6
128,node5-8,node6-3,-5,True,False,6
129,node5-8,node6-3,-5,True,False,5
130,node5-8,node6-3,-5,True,False,3
131,node5-8,node6-3,-5,True,False,8
132,node5-8,node6-3,-5,True,False,5
133,node5-8,node6-3,-5,True,False,8
134,node5-8,node6-3,-5,True,False,6
135,node5-8,node6-3,-5,True,False,7
136,node5-8,node6-3,-5,True,False,7
137,node5-8,node6-3,-5,True,False,2
138,node5-8,node6-3,-5,True,False,5
139,node5-8,node6-3,-5,True,False,7
140,node5-8,node6-3,-5,True,False,7
141,node5-8,node6-3,-5,True,False,6
142,node5-8,node6-3,-5,True,False,7
143,node5-8,node6-3,-5,True,False,6
144,node5-8,node6-3,-5,True,False,6
145,node5-8,node6-3,-5,True,False,5
146,node5-8,node6-3,-5,True,False,6
147,node5-8,node6-3,-5,True,False,8
148,node5-8,node6-3,-5,True,False,5
149,node5-8,node6-3,-5,True,False,6
150,node5-8,node6-3,-5,True,False,6
151,node5-8,node6-3,-5,True,False,5
152,node5-8,node6-3,-5,True,False,6
153,node5-8,node6-3,-5,True,False,5
154,node5-8,node6-3,-5,True,False,4
155,node5-8,node6-3,-5,True,False,6
156,node5-8,node6-3,-5,True,False,6
157,node5-8,node6-3,-5,True,False,5
158,node5-8,node6-3,-5,True,False,6
159,node5-8,node6-3,-5,True,False,9
160,node5-8,node6-3,-5,True,False,7
161,node5-8,node6-3,-5,True,False,5
162,node5-8,node6-3,-5,True,False,8
163,node5-8,node6-3,-5,True,False,6
164,node5-8,node6-3,-5,True,False,5
165,node5-8,node6-3,-5,True,False,6
166,node5-8,node6-3,-5,True,False,4
167,node5-8,node6-3,-5,True,False,6
168,node5-8,node6-3,-5,True,False,6
169,node5-8,node6-3,-5,True,False,6
170,node5-8,node6-3,-5,True,False,7
171,node5-8,node6-3,-5,True,False,6
172,node5-8,node6-3,-5,True,False,4
173,node5-8,node6-3,-5,True,False,5
174,node5-8,node6-3,-5,True,False,6
175,node5-8,node6-3,-5,True,False,5
176,node5-8,node6-3,-5,True,False,6
177,node5-8,node6-3,-5,True,False,6
178,node5-8,node6-3,-5,True,False,4
179,node5-8,node6-3,-5,True,False,6
180,node5-8,node6-3,-5,True,False,6
181,node5-8,node6-3,-5,True,False,5
182,node5-8,node6-3,-5,True,False,5
183,node5-8,node6-3,-5,True,False,7
184,node5-8,node6-3,-5,True,False,7
185,node5-8,node6-3,-5,True,False,6
186,node5-8,node6-3,-5,True,False,6
187,node5-8,node6-3,-5,True,False,6
188,node5-8,node6-3,-5,True,False,6
189,node5-8,node6-3,-5,True,False,6
190,node5-8,node6-3,-5,True,False,7
191,node5-8,node6-3,-5,True,False,6
192,node5-8,node6-3,-5,True,False,6
193,node5-8,node6-3,-5,True,False,6
194,node5-8,node6-3,-5,True,False,5
195,node5-8,node6-3,-5,True,False,6
196,node5-8,node6-3,-5,True,False,4
197,node5-8,node6-3,-5,True,False,9
198,node5-8,node6-3,-5,True,False,6
199,node5-8,node6-3,-5,True,False,5
200,node5-8,node6-3,-5,True,False,6
201,node5-8,node6-3,-5,True,False,7
202,node5-8,node6-3,-5,True,False,5
203,node5-8,node6-3,-5,True,False,4
204,node5-8,node6-3,-5,True,False,8
205,node5-8,node6-3,-5,True,False,8
206,node5-8,node6-3,-5,True,False,7
207,node5-8,node6-3,-5,True,False,7
208,node5-8,node6-3,-5,True,False,6
209,node5-8,node6-3,-5,True,False,7
210,node5-8,node6-3,-5,True,False,7
211,node5-8,node6-3,-5,True,False,5
212,node5-8,node6-3,-5,True,False,7
213,node5-8,node6-3,-5,True,False,7
214,node5-8,node6-3,-5,True,False,7
215,node5-8,node6-3,-5,True,False,6
216,node5-8,node6-3,-5,True,False,5
217,node5-8,node6-3,-5,True,False,6
218,node5-8,node6-3,-5,True,False,6
219,node5-8,node6-3,-5,True,False,7
220,node5-8,node6-3,-5,True,False,6
221,node5-8,node6-3,-5,True,False,8
222,node5-8,node6-3,-5,True,False,6
223,node5-8,node6-3,-5,True,False,6
224,node5-8,node6-3,-5,True,False,6
225,node5-8,node6-3,-5,True,False,5
226,node5-8,node6-3,-5,True,False,5
227,node5-8,node6-3,-5,True,False,7
228,node5-8,node6-3,-5,True,False,7
229,node5-8,node6-3,-5,True,False,5
230,node5-8,node6-3,-5,True,False,6
231,node5-8,node6-3,-5,True,False,6
232,node5-8,node6-3,-5,True,False,5
233,node5-8,node6-3,-5,True,False,6
234,node5-8,node6-3,-5,True,False,6
235,node5-8,node6-3,-5,True,False,6
236,node5-8,node6-3,-5,True,False,6
237,node5-8,node6-3,-5,True,False,8
238,node5-8,node6-3,-5,True,False,7
239,node5-8,node6-3,-5,True,False,5
240,node5-8,node6-3,-5,True,False,6
241,node5-8,node6-3,-5,True,False,6
242,node5-8,node6-3,-5,True,False,8
243,node5-8,node6-3,-5,True,False,5
244,node5-8,node6-3,-5,True,False,7
245,node5-8,node6-3,-5,True,False,7
246,node5-8,node6-3,-5,True,False,4
247,node5-8,node6-3,-5,True,False,7
248,node5-8,node6-3,-5,True,False,8
249,node5-8,node6-3,-5,True,False,6
250,node5-8,node6-3,-5,True,False,7
251,node5-8,node6-3,-5,True,False,6
252,node5-8,node6-3,-5,True,False,7
253,node5-8,node6-3,-5,True,False,7
254,node5-8,node6-3,-5,True,False,7
255,node5-8,node6-3,-5,True,False,7
256,node5-8,node6-3,-5,True,False,8
257,node5-8,node6-3,-5,True,False,6
258,node5-8,node6-3,-5,True,False,7
259,node5-8,node6-3,-5,True,False,6
260,node5-8,node6-3,-5,True,False,7
261,node5-8,node6-3,-5,True,False,5
262,node5-8,node6-3,-5,True,False,6
263,node5-8,node6-3,-5,True,False,7
264,node5-8,node6-3,-5,True,False,7
265,node5-8,node6-3,-5,True,False,5
266,node5-8,node6-3,-5,True,False,6
267,node5-8,node6-3,-5,True,False,6
268,node5-8,node6-3,-5,True,False,6
269,node5-8,node6-3,-5,True,False,6
270,node5-8,node6-3,-5,True,False,6
271,node5-8,node6-3,-5,True,False,5
272,node5-8,node6-3,-5,True,False,4
273,node5-8,node6-3,-5,True,False,5
274,node5-8,node6-3,-5,True,False,4
275,node5-8,node6-3,-5,True,False,6
276,node5-8,node6-3,-5,True,False,7
277,node5-8,node6-3,-5,True,False,7
278,node5-8,node6-3,-5,True,False,6
279,node5-8,node6-3,-5,True,False,7
280,node5-8,node6-3,-5,True,False,6
281,node5-8,node6-3,-5,True,False,7
282,node5-8,node6-3,-5,True,False,6
283,node5-8,node6-3,-5,True,False,7
284,node5-8,node6-3,-5,True,False,5
285,node5-8,node6-3,-5,True,False,6
286,node5-8,node6-3,-5,True,False,8
287,node5-8,node6-3,-5,True,False,5
288,node5-8,node6-3,-5,True,False,6
289,node5-8,node6-3,-5,True,False,5
290,node5-8,node6-3,-5,True,False,4
291,node5-8,node6-3,-5,True,False,7
292,node5-8,node6-3,-5,True,False,6
293,node5-8,node6-3,-5,True,False,6
294,node5-8,node6-3,-5,True,False,5
295,node5-8,node6-3,-5,True,False,8
296,node5-8,node6-3,-5,True,False,8
297,node5-8,node6-3,-5,True,False,7
298,node5-8,node6-3,-5,True,False,7
299,node5-8,node6-3,-5,True,False,7
300,node5-8,node6-3,-5,True,False,7
