seq,src,dst,noise,received,error,rssi
1,node5-8,node1-8,-10,True,False,7
2,node5-8,node1-8,-10,True,False,8
3,node5-8,node1-8,-10,True,False,2
4,node5-8,node1-8,-10,True,False,4
5,node5-8,node1-8,-10,True,False,2
6,node5-8,node1-8,-10,True,False,5
7,node5-8,node1-8,-10,True,False,6
8,node5-8,node1-8,-10,True,False,2
9,node5-8,node1-8,-10,True,False,3
10,node5-8,node1-8,-10,True,False,4
11,node5-8,node1-8,-10,True,False,5
12,node5-8,node1-8,-10,True,False,4
13,node5-8,node1-8,-10,True,False,5
14,node5-8,node1-8,-10,True,False,4
15,node5-8,node1-8,-10,True,False,4
16,node5-8,node1-8,-10,True,False,4
17,node5-8,node1-8,-10,True,False,5
18,node5-8,node1-8,-10,True,False,3
19,node5-8,node1-8,-10,True,False,2
20,node5-8,node1-8,-10,True,False,4
21,node5-8,node1-8,-10,True,False,2
22,node5-8,node1-8,-10,True,False,4
23,node5-8,node1-8,-10,True,False,4
24,node5-8,node1-8,-10,True,False,5
25,node5-8,node1-8,-10,True,False,4
26,node5-8,node1-8,-10,True,False,2
27,node5-8,node1-8,-10,True,False,5
28,node5-8,node1-8,-10,True,False,5
29,node5-8,node1-8,-10,True,False,5
30,node5-8,node1-8,-10,True,False,5
31,node5-8,node1-8,-10,True,False,5
32,node5-8,node1-8,-10,True,False,4
33,node5-8,node1-8,-10,True,False,4
34,node5-8,node1-8,-10,True,False,4
35,node5-8,node1-8,-10,True,False,2
36,node5-8,node1-8,-10,True,False,5
37,node5-8,node1-8,-10,True,False,1
38,node5-8,node1-8,-10,True,False,4
39,node5-8,node1-8,-10,True,False,4
40,node5-8,node1-8,-10,True,False,4
41,node5-8,node1-8,-10,True,False,4
42,node5-8,node1-8,-10,True,False,4
43,node5-8,node1-8,-10,True,False,4
44,node5-8,node1-8,-10,True,False,4
45,node5-8,node1-8,-10,True,False,3
46,node5-8,node1-8,-10,True,False,4
47,node5-8,node1-8,-10,True,False,5
48,node5-8,node1-8,-10,True,False,3
49,node5-8,node1-8,-10,True,False,3
50,node5-8,node1-8,-10,True,False,3
51,node5-8,node1-8,-10,True,False,2
52,node5-8,node1-8,-10,True,False,5
53,node5-8,node1-8,-10,True,False,4
54,node5-8,node1-8,-10,True,False,4
55,node5-8,node1-8,-10,True,False,3
56,node5-8,node1-8,-10,True,False,3
57,node5-8,node1-8,-10,True,False,4
58,node5-8,node1-8,-10,True,False,4
59,node5-8,node1-8,-10,True,False,3
60,node5-8,node1-8,-10,True,False,3
61,node5-8,node1-8,-10,True,False,6
62,node5-8,node1-8,-10,True,False,4
63,node5-8,node1-8,-10,True,False,4
64,node5-8,node1-8,-10,True,False,3
65,node5-8,node1-8,-10,True,False,4
66,node5-8,node1-8,-10,True,False,5
67,node5-8,node1-8,-10,True,False,5
68,node5-8,node1-8,-10,True,False,3
69,node5-8,node1-8,-10,True,False,4
70,node5-8,node1-8,-10,True,False,2
71,node5-8,node1-8,-10,True,False,4
72,node5-8,node1-8,-10,True,False,5
73,node5-8,node1-8,-10,True,False,4
74,node5-8,node1-8,-10,True,False,3
75,node5-8,node1-8,-10,True,False,3
76,node5-8,node1-8,-10,True,False,2
77,node5-8,node1-8,-10,True,False,4
78,node5-8,node1-8,-10,True,False,4
79,node5-8,node1-8,-10,True,False,3
80,node5-8,node1-8,-10,True,False,5
81,node5-8,node1-8,-10,True,False,3
82,node5-8,node1-8,-10,True,False,4
83,node5-8,node1-8,-10,True,False,3
84,node5-8,node1-8,-10,True,False,4
85,node5-8,node1-8,-10,True,False,3
86,node5-8,node1-8,-10,True,False,3
87,node5-8,node1-8,-10,True,False,3
88,node5-8,node1-8,-10,True,False,3
89,node5-8,node1-8,-10,True,False,4
90,node5-8,node1-8,-10,True,False,3
91,node5-8,node1-8,-10,True,False,4
92,node5-8,node1-8,-10,True,False,3
93,node5-8,node1-8,-10,True,False,4
94,node5-8,node1-8,-10,True,False,4
95,node5-8,node1-8,-10,True,False,3
96,node5-8,node1-8,-10,True,False,5
97,node5-8,node1-8,-10,True,False,4
98,node5-8,node1-8,-10,True,False,4
99,node5-8,node1-8,-10,True,False,6
100,node5-8,node1-8,-10,True,False,5
101,node5-8,node1-8,-10,True,False,4
102,node5-8,node1-8,-10,True,False,5
103,node5-8,node1-8,-10,True,False,5
104,node5-8,node1-8,-10,True,False,4
105,node5-8,node1-8,-10,True,False,4
106,node5-8,node1-8,-10,True,False,3
107,node5-8,node1-8,-10,True,False,5
108,node5-8,node1-8,-10,True,False,3
109,node5-8,node1-8,-10,True,False,4
110,node5-8,node1-8,-10,True,False,0
111,node5-8,node1-8,-10,True,False,3
112,node5-8,node1-8,-10,True,False,4
113,node5-8,node1-8,-10,True,False,3
114,node5-8,node1-8,-10,True,False,4
115,node5-8,node1-8,-10,True,False,2
116,node5-8,node1-8,-10,True,False,5
117,node5-8,node1-8,-10,True,False,5
118,node5-8,node1-8,-10,True,False,4
119,node5-8,node1-8,-10,True,False,5
120,node5-8,node1-8,-10,True,False,6
121,node5-8,node1-8,-10,True,False,3
122,node5-8,node1-8,-10,True,False,6
123,node5-8,node1-8,-10,True,False,3
124,node5-8,node1-8,-10,True,False,3
125,node5-8,node1-8,-10,True,False,4
126,node5-8,node1-8,-10,True,False,4
127,node5-8,node1-8,-10,True,False,2
128,node5-8,node1-8,-10,True,False,4
129,node5-8,node1-8,-10,True,False,4
130,node5-8,node1-8,-10,True,False,5
131,node5-8,node1-8,-10,True,False,4
132,node5-8,node1-8,-10,True,False,4
133,node5-8,node1-8,-10,True,False,2
134,node5-8,node1-8,-10,True,False,6
135,node5-8,node1-8,-10,True,False,5
136,node5-8,node1-8,-10,True,False,4
137,node5-8,node1-8,-10,True,False,4
138,node5-8,node1-8,-10,True,False,3
139,node5-8,node1-8,-10,True,False,5
140,node5-8,node1-8,-10,True,False,5
141,node5-8,node1-8,-10,True,False,3
142,node5-8,node1-8,-10,True,False,3
143,node5-8,node1-8,-10,True,False,4
144,node5-8,node1-8,-10,True,False,5
145,node5-8,node1-8,-10,True,False,5
