seq,src,dst,noise,received,error,rssi
1,node3-8,node3-4,-10,True,False,11
2,node3-8,node3-4,-10,True,False,10
3,node3-8,node3-4,-10,True,False,10
4,node3-8,node3-4,-10,True,False,8
5,node3-8,node3-4,-10,True,False,8
6,node3-8,node3-4,-10,True,False,10
7,node3-8,node3-4,-10,True,False,9
8,node3-8,node3-4,-10,True,False,8
9,node3-8,node3-4,-10,True,False,9
10,node3-8,node3-4,-10,True,False,10
11,node3-8,node3-4,-10,True,False,8
12,node3-8,node3-4,-10,True,False,9
13,node3-8,node3-4,-10,True,False,9
14,node3-8,node3-4,-10,True,False,8
15,node3-8,node3-4,-10,True,False,8
16,node3-8,node3-4,-10,True,False,8
17,node3-8,node3-4,-10,True,False,8
18,node3-8,node3-4,-10,True,False,8
19,node3-8,node3-4,-10,True,False,9
20,node3-8,node3-4,-10,True,False,7
21,node3-8,node3-4,-10,True,False,9
22,node3-8,node3-4,-10,True,False,9
23,node3-8,node3-4,-10,True,False,9
24,node3-8,node3-4,-10,True,False,8
25,node3-8,node3-4,-10,True,False,9
26,node3-8,node3-4,-10,True,False,9
27,node3-8,node3-4,-10,True,False,9
28,node3-8,node3-4,-10,True,False,8
29,node3-8,node3-4,-10,True,False,9
30,node3-8,node3-4,-10,True,False,7
31,node3-8,node3-4,-10,True,False,9
32,node3-8,node3-4,-10,True,False,9
33,node3-8,node3-4,-10,True,False,9
34,node3-8,node3-4,-10,True,False,9
35,node3-8,node3-4,-10,True,False,9
36,node3-8,node3-4,-10,True,False,9
37,node3-8,node3-4,-10,True,False,9
38,node3-8,node3-4,-10,True,False,9
39,node3-8,node3-4,-10,True,False,7
40,node3-8,node3-4,-10,True,False,9
41,node3-8,node3-4,-10,True,False,9
42,node3-8,node3-4,-10,True,False,8
43,node3-8,node3-4,-10,True,False,8
44,node3-8,node3-4,-10,True,False,8
45,node3-8,node3-4,-10,True,False,8
46,node3-8,node3-4,-10,True,False,6
47,node3-8,node3-4,-10,True,False,5
48,node3-8,node3-4,-10,True,False,8
49,node3-8,node3-4,-10,True,False,9
50,node3-8,node3-4,-10,True,False,9
51,node3-8,node3-4,-10,True,False,8
52,node3-8,node3-4,-10,True,False,10
53,node3-8,node3-4,-10,True,False,10
54,node3-8,node3-4,-10,True,False,9
55,node3-8,node3-4,-10,True,False,9
56,node3-8,node3-4,-10,True,False,8
57,node3-8,node3-4,-10,True,False,8
58,node3-8,node3-4,-10,True,False,9
59,node3-8,node3-4,-10,True,False,8
60,node3-8,node3-4,-10,True,False,7
61,node3-8,node3-4,-10,True,False,7
62,node3-8,node3-4,-10,True,False,9
63,node3-8,node3-4,-10,True,False,8
64,node3-8,node3-4,-10,True,False,9
65,node3-8,node3-4,-10,True,False,10
66,node3-8,node3-4,-10,True,False,9
