seq,src,dst,noise,received,error,rssi
1,node6-3,node3-4,-10,True,False,7
2,node6-3,node3-4,-10,True,False,7
3,node6-3,node3-4,-10,True,False,4
4,node6-3,node3-4,-10,True,False,4
5,node6-3,node3-4,-10,True,False,5
6,node6-3,node3-4,-10,True,False,7
7,node6-3,node3-4,-10,True,False,3
8,node6-3,node3-4,-10,True,False,6
9,node6-3,node3-4,-10,True,False,5
10,node6-3,node3-4,-10,True,False,5
11,node6-3,node3-4,-10,True,False,8
12,node6-3,node3-4,-10,True,False,5
13,node6-3,node3-4,-10,True,False,5
14,node6-3,node3-4,-10,True,False,6
15,node6-3,node3-4,-10,True,False,6
16,node6-3,node3-4,-10,True,False,6
17,node6-3,node3-4,-10,True,False,6
18,node6-3,node3-4,-10,True,False,7
19,node6-3,node3-4,-10,True,False,6
20,node6-3,node3-4,-10,True,False,4
21,node6-3,node3-4,-10,True,False,7
22,node6-3,node3-4,-10,True,False,6
23,node6-3,node3-4,-10,True,False,5
24,node6-3,node3-4,-10,True,False,4
25,node6-3,node3-4,-10,True,False,7
26,node6-3,node3-4,-10,True,False,8
27,node6-3,node3-4,-10,True,False,5
28,node6-3,node3-4,-10,True,False,5
29,node6-3,node3-4,-10,True,False,4
30,node6-3,node3-4,-10,True,False,7
31,node6-3,node3-4,-10,True,False,6
32,node6-3,node3-4,-10,True,False,5
33,node6-3,node3-4,-10,True,False,5
34,node6-3,node3-4,-10,True,False,6
35,node6-3,node3-4,-10,True,False,5
36,node6-3,node3-4,-10,True,False,5
37,node6-3,node3-4,-10,True,False,3
38,node6-3,node3-4,-10,True,False,5
39,node6-3,node3-4,-10,True,False,6
40,node6-3,node3-4,-10,True,False,7
41,node6-3,node3-4,-10,True,False,5
42,node6-3,node3-4,-10,True,False,4
43,node6-3,node3-4,-10,True,False,4
44,node6-3,node3-4,-10,True,False,5
45,node6-3,node3-4,-10,True,False,6
46,node6-3,node3-4,-10,True,False,6
47,node6-3,node3-4,-10,True,False,5
48,node6-3,node3-4,-10,True,False,5
49,node6-3,node3-4,-10,True,False,5
50,node6-3,node3-4,-10,True,False,7
51,node6-3,node3-4,-10,True,False,5
52,node6-3,node3-4,-10,True,False,3
53,node6-3,node3-4,-10,True,False,6
54,node6-3,node3-4,-10,True,False,6
55,node6-3,node3-4,-10,True,False,7
56,node6-3,node3-4,-10,True,False,6
57,node6-3,node3-4,-10,True,False,6
58,node6-3,node3-4,-10,True,False,5
59,node6-3,node3-4,-10,True,False,7
60,node6-3,node3-4,-10,True,False,6
61,node6-3,node3-4,-10,True,False,7
62,node6-3,node3-4,-10,True,False,6
63,node6-3,node3-4,-10,True,False,6
64,node6-3,node3-4,-10,True,False,6
65,node6-3,node3-4,-10,True,False,7
66,node6-3,node3-4,-10,True,False,8
67,node6-3,node3-4,-10,True,False,8
68,node6-3,node3-4,-10,True,False,7
69,node6-3,node3-4,-10,True,False,5
70,node6-3,node3-4,-10,True,False,6
71,node6-3,node3-4,-10,True,False,6
72,node6-3,node3-4,-10,True,False,6
