seq,src,dst,noise,received,error,rssi
1,node1-2,node3-4,-20,True,False,25
2,node1-2,node3-4,-20,True,False,24
3,node1-2,node3-4,-20,True,False,22
4,node1-2,node3-4,-20,True,False,20
5,node1-2,node3-4,-20,True,False,20
6,node1-2,node3-4,-20,True,False,20
7,node1-2,node3-4,-20,True,False,21
8,node1-2,node3-4,-20,True,False,19
9,node1-2,node3-4,-20,True,False,19
10,node1-2,node3-4,-20,True,False,19
11,node1-2,node3-4,-20,True,False,20
12,node1-2,node3-4,-20,True,False,20
13,node1-2,node3-4,-20,True,False,19
14,node1-2,node3-4,-20,True,False,18
15,node1-2,node3-4,-20,True,False,19
16,node1-2,node3-4,-20,True,False,20
17,node1-2,node3-4,-20,True,False,19
18,node1-2,node3-4,-20,True,False,19
19,node1-2,node3-4,-20,True,False,20
20,node1-2,node3-4,-20,True,False,20
21,node1-2,node3-4,-20,True,False,20
22,node1-2,node3-4,-20,True,False,19
23,node1-2,node3-4,-20,True,False,19
24,node1-2,node3-4,-20,True,False,18
25,node1-2,node3-4,-20,True,False,20
26,node1-2,node3-4,-20,True,False,19
27,node1-2,node3-4,-20,True,False,19
28,node1-2,node3-4,-20,True,False,20
29,node1-2,node3-4,-20,True,False,18
30,node1-2,node3-4,-20,True,False,20
31,node1-2,node3-4,-20,True,False,20
32,node1-2,node3-4,-20,True,False,19
33,node1-2,node3-4,-20,True,False,20
34,node1-2,node3-4,-20,True,False,20
35,node1-2,node3-4,-20,True,False,20
36,node1-2,node3-4,-20,True,False,19
37,node1-2,node3-4,-20,True,False,19
38,node1-2,node3-4,-20,True,False,19
39,node1-2,node3-4,-20,True,False,20
40,node1-2,node3-4,-20,True,False,20
41,node1-2,node3-4,-20,True,False,19
42,node1-2,node3-4,-20,True,False,19
43,node1-2,node3-4,-20,True,False,20
44,node1-2,node3-4,-20,True,False,20
45,node1-2,node3-4,-20,True,False,20
46,node1-2,node3-4,-20,True,False,19
47,node1-2,node3-4,-20,True,False,19
48,node1-2,node3-4,-20,True,False,19
49,node1-2,node3-4,-20,True,False,19
50,node1-2,node3-4,-20,True,False,20
51,node1-2,node3-4,-20,True,False,19
52,node1-2,node3-4,-20,True,False,19
53,node1-2,node3-4,-20,True,False,19
54,node1-2,node3-4,-20,True,False,20
55,node1-2,node3-4,-20,True,False,20
56,node1-2,node3-4,-20,True,False,19
57,node1-2,node3-4,-20,True,False,20
58,node1-2,node3-4,-20,True,False,19
59,node1-2,node3-4,-20,True,False,19
60,node1-2,node3-4,-20,True,False,19
61,node1-2,node3-4,-20,True,False,19
62,node1-2,node3-4,-20,True,False,19
63,node1-2,node3-4,-20,True,False,19
64,node1-2,node3-4,-20,True,False,19
65,node1-2,node3-4,-20,True,False,19
66,node1-2,node3-4,-20,True,False,19
67,node1-2,node3-4,-20,True,False,19
68,node1-2,node3-4,-20,True,False,20
69,node1-2,node3-4,-20,True,False,19
70,node1-2,node3-4,-20,True,False,19
71,node1-2,node3-4,-20,True,False,19
72,node1-2,node3-4,-20,True,False,20
73,node1-2,node3-4,-20,True,False,19
74,node1-2,node3-4,-20,True,False,19
75,node1-2,node3-4,-20,True,False,19
76,node1-2,node3-4,-20,True,False,19
77,node1-2,node3-4,-20,True,False,19
78,node1-2,node3-4,-20,True,False,19
79,node1-2,node3-4,-20,True,False,19
80,node1-2,node3-4,-20,True,False,21
81,node1-2,node3-4,-20,True,False,20
82,node1-2,node3-4,-20,True,False,19
83,node1-2,node3-4,-20,True,False,20
84,node1-2,node3-4,-20,True,False,19
85,node1-2,node3-4,-20,True,False,19
86,node1-2,node3-4,-20,True,False,20
87,node1-2,node3-4,-20,True,False,19
88,node1-2,node3-4,-20,True,False,20
89,node1-2,node3-4,-20,True,False,20
90,node1-2,node3-4,-20,True,False,19
91,node1-2,node3-4,-20,True,False,19
92,node1-2,node3-4,-20,True,False,19
93,node1-2,node3-4,-20,True,False,19
94,node1-2,node3-4,-20,True,False,19
95,node1-2,node3-4,-20,True,False,19
96,node1-2,node3-4,-20,True,False,19
97,node1-2,node3-4,-20,True,False,19
98,node1-2,node3-4,-20,True,False,19
99,node1-2,node3-4,-20,True,False,19
100,node1-2,node3-4,-20,True,False,19
101,node1-2,node3-4,-20,True,False,20
102,node1-2,node3-4,-20,True,False,20
103,node1-2,node3-4,-20,True,False,19
104,node1-2,node3-4,-20,True,False,19
105,node1-2,node3-4,-20,True,False,19
106,node1-2,node3-4,-20,True,False,19
107,node1-2,node3-4,-20,True,False,19
108,node1-2,node3-4,-20,True,False,19
109,node1-2,node3-4,-20,True,False,20
110,node1-2,node3-4,-20,True,False,20
111,node1-2,node3-4,-20,True,False,19
112,node1-2,node3-4,-20,True,False,19
113,node1-2,node3-4,-20,True,False,19
114,node1-2,node3-4,-20,True,False,20
115,node1-2,node3-4,-20,True,False,20
116,node1-2,node3-4,-20,True,False,19
117,node1-2,node3-4,-20,True,False,20
118,node1-2,node3-4,-20,True,False,19
119,node1-2,node3-4,-20,True,False,18
120,node1-2,node3-4,-20,True,False,20
121,node1-2,node3-4,-20,True,False,19
122,node1-2,node3-4,-20,True,False,20
123,node1-2,node3-4,-20,True,False,19
124,node1-2,node3-4,-20,True,False,19
125,node1-2,node3-4,-20,True,False,19
126,node1-2,node3-4,-20,True,False,19
127,node1-2,node3-4,-20,True,False,19
128,node1-2,node3-4,-20,True,False,19
129,node1-2,node3-4,-20,True,False,20
130,node1-2,node3-4,-20,True,False,20
131,node1-2,node3-4,-20,True,False,19
132,node1-2,node3-4,-20,True,False,19
133,node1-2,node3-4,-20,True,False,19
134,node1-2,node3-4,-20,True,False,19
135,node1-2,node3-4,-20,True,False,19
136,node1-2,node3-4,-20,True,False,20
137,node1-2,node3-4,-20,True,False,18
138,node1-2,node3-4,-20,True,False,19
139,node1-2,node3-4,-20,True,False,20
140,node1-2,node3-4,-20,True,False,19
141,node1-2,node3-4,-20,True,False,18
142,node1-2,node3-4,-20,True,False,19
143,node1-2,node3-4,-20,True,False,19
144,node1-2,node3-4,-20,True,False,20
145,node1-2,node3-4,-20,True,False,20
146,node1-2,node3-4,-20,True,False,19
147,node1-2,node3-4,-20,True,False,19
148,node1-2,node3-4,-20,True,False,19
149,node1-2,node3-4,-20,True,False,19
150,node1-2,node3-4,-20,True,False,19
151,node1-2,node3-4,-20,True,False,20
152,node1-2,node3-4,-20,True,False,19
153,node1-2,node3-4,-20,True,False,18
154,node1-2,node3-4,-20,True,False,19
155,node1-2,node3-4,-20,True,False,19
156,node1-2,node3-4,-20,True,False,20
157,node1-2,node3-4,-20,True,False,20
158,node1-2,node3-4,-20,True,False,19
159,node1-2,node3-4,-20,True,False,20
160,node1-2,node3-4,-20,True,False,19
161,node1-2,node3-4,-20,True,False,18
162,node1-2,node3-4,-20,True,False,18
163,node1-2,node3-4,-20,True,False,19
164,node1-2,node3-4,-20,True,False,20
165,node1-2,node3-4,-20,True,False,19
166,node1-2,node3-4,-20,True,False,18
167,node1-2,node3-4,-20,True,False,19
168,node1-2,node3-4,-20,True,False,19
169,node1-2,node3-4,-20,True,False,19
170,node1-2,node3-4,-20,True,False,19
171,node1-2,node3-4,-20,True,False,19
172,node1-2,node3-4,-20,True,False,19
173,node1-2,node3-4,-20,True,False,19
174,node1-2,node3-4,-20,True,False,20
175,node1-2,node3-4,-20,True,False,19
176,node1-2,node3-4,-20,True,False,19
177,node1-2,node3-4,-20,True,False,19
178,node1-2,node3-4,-20,True,False,19
179,node1-2,node3-4,-20,True,False,20
180,node1-2,node3-4,-20,True,False,20
181,node1-2,node3-4,-20,True,False,19
182,node1-2,node3-4,-20,True,False,19
183,node1-2,node3-4,-20,True,False,19
184,node1-2,node3-4,-20,True,False,19
185,node1-2,node3-4,-20,True,False,19
186,node1-2,node3-4,-20,True,False,20
187,node1-2,node3-4,-20,True,False,19
188,node1-2,node3-4,-20,True,False,19
189,node1-2,node3-4,-20,True,False,19
190,node1-2,node3-4,-20,True,False,19
191,node1-2,node3-4,-20,True,False,19
192,node1-2,node3-4,-20,True,False,19
193,node1-2,node3-4,-20,True,False,20
194,node1-2,node3-4,-20,True,False,19
195,node1-2,node3-4,-20,True,False,19
196,node1-2,node3-4,-20,True,False,20
197,node1-2,node3-4,-20,True,False,19
198,node1-2,node3-4,-20,True,False,19
199,node1-2,node3-4,-20,True,False,18
200,node1-2,node3-4,-20,True,False,19
201,node1-2,node3-4,-20,True,False,20
202,node1-2,node3-4,-20,True,False,19
203,node1-2,node3-4,-20,True,False,20
204,node1-2,node3-4,-20,True,False,18
205,node1-2,node3-4,-20,True,False,19
206,node1-2,node3-4,-20,True,False,19
207,node1-2,node3-4,-20,True,False,19
208,node1-2,node3-4,-20,True,False,20
209,node1-2,node3-4,-20,True,False,19
210,node1-2,node3-4,-20,True,False,19
211,node1-2,node3-4,-20,True,False,20
212,node1-2,node3-4,-20,True,False,20
213,node1-2,node3-4,-20,True,False,19
214,node1-2,node3-4,-20,True,False,19
215,node1-2,node3-4,-20,True,False,18
216,node1-2,node3-4,-20,True,False,20
217,node1-2,node3-4,-20,True,False,19
218,node1-2,node3-4,-20,True,False,19
219,node1-2,node3-4,-20,True,False,20
220,node1-2,node3-4,-20,True,False,18
221,node1-2,node3-4,-20,True,False,19
222,node1-2,node3-4,-20,True,False,18
223,node1-2,node3-4,-20,True,False,20
224,node1-2,node3-4,-20,True,False,20
225,node1-2,node3-4,-20,True,False,19
226,node1-2,node3-4,-20,True,False,20
227,node1-2,node3-4,-20,True,False,19
228,node1-2,node3-4,-20,True,False,19
229,node1-2,node3-4,-20,True,False,20
230,node1-2,node3-4,-20,True,False,19
231,node1-2,node3-4,-20,True,False,19
232,node1-2,node3-4,-20,True,False,20
233,node1-2,node3-4,-20,True,False,18
234,node1-2,node3-4,-20,True,False,19
235,node1-2,node3-4,-20,True,False,20
236,node1-2,node3-4,-20,True,False,20
237,node1-2,node3-4,-20,True,False,19
238,node1-2,node3-4,-20,True,False,20
239,node1-2,node3-4,-20,True,False,19
240,node1-2,node3-4,-20,True,False,20
241,node1-2,node3-4,-20,True,False,20
242,node1-2,node3-4,-20,True,False,20
243,node1-2,node3-4,-20,True,False,20
244,node1-2,node3-4,-20,True,False,19
245,node1-2,node3-4,-20,True,False,19
246,node1-2,node3-4,-20,True,False,19
247,node1-2,node3-4,-20,True,False,19
248,node1-2,node3-4,-20,True,False,19
249,node1-2,node3-4,-20,True,False,20
250,node1-2,node3-4,-20,True,False,19
251,node1-2,node3-4,-20,True,False,19
252,node1-2,node3-4,-20,True,False,19
253,node1-2,node3-4,-20,True,False,19
254,node1-2,node3-4,-20,True,False,20
255,node1-2,node3-4,-20,True,False,19
256,node1-2,node3-4,-20,True,False,20
257,node1-2,node3-4,-20,True,False,18
258,node1-2,node3-4,-20,True,False,19
259,node1-2,node3-4,-20,True,False,20
260,node1-2,node3-4,-20,True,False,19
261,node1-2,node3-4,-20,True,False,19
262,node1-2,node3-4,-20,True,False,19
263,node1-2,node3-4,-20,True,False,20
264,node1-2,node3-4,-20,True,False,19
265,node1-2,node3-4,-20,True,False,19
266,node1-2,node3-4,-20,True,False,20
267,node1-2,node3-4,-20,True,False,19
268,node1-2,node3-4,-20,True,False,19
269,node1-2,node3-4,-20,True,False,19
270,node1-2,node3-4,-20,True,False,19
271,node1-2,node3-4,-20,True,False,19
272,node1-2,node3-4,-20,True,False,19
273,node1-2,node3-4,-20,True,False,20
274,node1-2,node3-4,-20,True,False,20
275,node1-2,node3-4,-20,True,False,18
276,node1-2,node3-4,-20,True,False,19
277,node1-2,node3-4,-20,True,False,20
278,node1-2,node3-4,-20,True,False,19
279,node1-2,node3-4,-20,True,False,19
280,node1-2,node3-4,-20,True,False,18
281,node1-2,node3-4,-20,True,False,19
282,node1-2,node3-4,-20,True,False,19
283,node1-2,node3-4,-20,True,False,19
284,node1-2,node3-4,-20,True,False,19
285,node1-2,node3-4,-20,True,False,19
286,node1-2,node3-4,-20,True,False,19
287,node1-2,node3-4,-20,True,False,19
288,node1-2,node3-4,-20,True,False,19
289,node1-2,node3-4,-20,True,False,19
290,node1-2,node3-4,-20,True,False,19
291,node1-2,node3-4,-20,True,False,19
292,node1-2,node3-4,-20,True,False,19
293,node1-2,node3-4,-20,True,False,19
294,node1-2,node3-4,-20,True,False,19
295,node1-2,node3-4,-20,True,False,19
296,node1-2,node3-4,-20,True,False,20
297,node1-2,node3-4,-20,True,False,19
298,node1-2,node3-4,-20,True,False,19
299,node1-2,node3-4,-20,True,False,18
300,node1-2,node3-4,-20,True,False,19
