seq,src,dst,noise,received,error,rssi
1,node7-2,node2-5,-10,True,False,10
2,node7-2,node2-5,-10,True,False,11
3,node7-2,node2-5,-10,True,False,8
4,node7-2,node2-5,-10,True,False,6
5,node7-2,node2-5,-10,True,False,6
6,node7-2,node2-5,-10,True,False,8
7,node7-2,node2-5,-10,True,False,7
8,node7-2,node2-5,-10,True,False,7
9,node7-2,node2-5,-10,True,False,7
10,node7-2,node2-5,-10,True,False,7
11,node7-2,node2-5,-10,True,False,7
12,node7-2,node2-5,-10,True,False,8
13,node7-2,node2-5,-10,True,False,7
14,node7-2,node2-5,-10,True,False,8
15,node7-2,node2-5,-10,True,False,6
16,node7-2,node2-5,-10,True,False,7
17,node7-2,node2-5,-10,True,False,8
18,node7-2,node2-5,-10,True,False,7
19,node7-2,node2-5,-10,True,False,7
20,node7-2,node2-5,-10,True,False,6
21,node7-2,node2-5,-10,True,False,6
22,node7-2,node2-5,-10,True,False,7
23,node7-2,node2-5,-10,True,False,8
24,node7-2,node2-5,-10,True,False,7
25,node7-2,node2-5,-10,True,False,6
26,node7-2,node2-5,-10,True,False,6
27,node7-2,node2-5,-10,True,False,8
28,node7-2,node2-5,-10,True,False,7
29,node7-2,node2-5,-10,True,False,9
30,node7-2,node2-5,-10,True,False,6
31,node7-2,node2-5,-10,True,False,7
32,node7-2,node2-5,-10,True,False,8
33,node7-2,node2-5,-10,True,False,7
34,node7-2,node2-5,-10,True,False,7
35,node7-2,node2-5,-10,True,False,6
36,node7-2,node2-5,-10,True,False,8
37,node7-2,node2-5,-10,True,False,7
38,node7-2,node2-5,-10,True,False,7
39,node7-2,node2-5,-10,True,False,6
40,node7-2,node2-5,-10,True,False,8
41,node7-2,node2-5,-10,True,False,6
42,node7-2,node2-5,-10,True,False,7
43,node7-2,node2-5,-10,True,False,7
44,node7-2,node2-5,-10,True,False,8
45,node7-2,node2-5,-10,True,False,8
46,node7-2,node2-5,-10,True,False,7
47,node7-2,node2-5,-10,True,False,8
48,node7-2,node2-5,-10,True,False,8
49,node7-2,node2-5,-10,True,False,8
50,node7-2,node2-5,-10,True,False,8
51,node7-2,node2-5,-10,True,False,8
52,node7-2,node2-5,-10,True,False,7
53,node7-2,node2-5,-10,True,False,7
54,node7-2,node2-5,-10,True,False,8
55,node7-2,node2-5,-10,True,False,7
56,node7-2,node2-5,-10,True,False,9
57,node7-2,node2-5,-10,True,False,7
58,node7-2,node2-5,-10,True,False,8
59,node7-2,node2-5,-10,True,False,6
60,node7-2,node2-5,-10,True,False,8
61,node7-2,node2-5,-10,True,False,8
62,node7-2,node2-5,-10,True,False,6
63,node7-2,node2-5,-10,True,False,8
64,node7-2,node2-5,-10,True,False,8
65,node7-2,node2-5,-10,True,False,8
66,node7-2,node2-5,-10,True,False,8
67,node7-2,node2-5,-10,True,False,6
68,node7-2,node2-5,-10,True,False,8
