seq,src,dst,noise,received,error,rssi
1,node4-7,node3-2,-20,True,False,23
2,node4-7,node3-2,-20,True,False,22
3,node4-7,node3-2,-20,True,False,19
4,node4-7,node3-2,-20,True,False,17
5,node4-7,node3-2,-20,True,False,18
6,node4-7,node3-2,-20,True,False,17
7,node4-7,node3-2,-20,True,False,17
8,node4-7,node3-2,-20,True,False,18
9,node4-7,node3-2,-20,True,False,17
10,node4-7,node3-2,-20,True,False,16
11,node4-7,node3-2,-20,True,False,17
12,node4-7,node3-2,-20,True,False,17
13,node4-7,node3-2,-20,True,False,17
14,node4-7,node3-2,-20,True,False,17
15,node4-7,node3-2,-20,True,False,17
16,node4-7,node3-2,-20,True,False,17
17,node4-7,node3-2,-20,True,False,17
18,node4-7,node3-2,-20,True,False,18
19,node4-7,node3-2,-20,True,False,17
20,node4-7,node3-2,-20,True,False,18
21,node4-7,node3-2,-20,True,False,17
22,node4-7,node3-2,-20,True,False,18
23,node4-7,node3-2,-20,True,False,17
24,node4-7,node3-2,-20,True,False,17
25,node4-7,node3-2,-20,True,False,17
26,node4-7,node3-2,-20,True,False,18
27,node4-7,node3-2,-20,True,False,17
28,node4-7,node3-2,-20,True,False,17
29,node4-7,node3-2,-20,True,False,18
30,node4-7,node3-2,-20,True,False,18
31,node4-7,node3-2,-20,True,False,17
32,node4-7,node3-2,-20,True,False,18
33,node4-7,node3-2,-20,True,False,18
34,node4-7,node3-2,-20,True,False,17
35,node4-7,node3-2,-20,True,False,18
36,node4-7,node3-2,-20,True,False,17
37,node4-7,node3-2,-20,True,False,17
38,node4-7,node3-2,-20,True,False,17
39,node4-7,node3-2,-20,True,False,17
40,node4-7,node3-2,-20,True,False,17
41,node4-7,node3-2,-20,True,False,17
42,node4-7,node3-2,-20,True,False,17
43,node4-7,node3-2,-20,True,False,17
44,node4-7,node3-2,-20,True,False,17
45,node4-7,node3-2,-20,True,False,17
46,node4-7,node3-2,-20,True,False,17
47,node4-7,node3-2,-20,True,False,18
48,node4-7,node3-2,-20,True,False,17
49,node4-7,node3-2,-20,True,False,18
50,node4-7,node3-2,-20,True,False,17
51,node4-7,node3-2,-20,True,False,17
52,node4-7,node3-2,-20,True,False,17
53,node4-7,node3-2,-20,True,False,18
54,node4-7,node3-2,-20,True,False,17
55,node4-7,node3-2,-20,True,False,17
56,node4-7,node3-2,-20,True,False,17
57,node4-7,node3-2,-20,True,False,17
58,node4-7,node3-2,-20,True,False,17
59,node4-7,node3-2,-20,True,False,17
60,node4-7,node3-2,-20,True,False,17
61,node4-7,node3-2,-20,True,False,17
62,node4-7,node3-2,-20,True,False,17
63,node4-7,node3-2,-20,True,False,17
64,node4-7,node3-2,-20,True,False,17
65,node4-7,node3-2,-20,True,False,17
66,node4-7,node3-2,-20,True,False,17
67,node4-7,node3-2,-20,True,False,18
68,node4-7,node3-2,-20,True,False,17
69,node4-7,node3-2,-20,True,False,18
70,node4-7,node3-2,-20,True,False,18
71,node4-7,node3-2,-20,True,False,17
72,node4-7,node3-2,-20,True,False,17
73,node4-7,node3-2,-20,True,False,17
74,node4-7,node3-2,-20,True,False,17
75,node4-7,node3-2,-20,True,False,17
76,node4-7,node3-2,-20,True,False,17
77,node4-7,node3-2,-20,True,False,17
78,node4-7,node3-2,-20,True,False,17
79,node4-7,node3-2,-20,True,False,17
80,node4-7,node3-2,-20,True,False,17
81,node4-7,node3-2,-20,True,False,17
82,node4-7,node3-2,-20,True,False,17
83,node4-7,node3-2,-20,True,False,17
84,node4-7,node3-2,-20,True,False,17
85,node4-7,node3-2,-20,True,False,18
86,node4-7,node3-2,-20,True,False,17
87,node4-7,node3-2,-20,True,False,17
88,node4-7,node3-2,-20,True,False,17
89,node4-7,node3-2,-20,True,False,17
90,node4-7,node3-2,-20,True,False,17
91,node4-7,node3-2,-20,True,False,17
92,node4-7,node3-2,-20,True,False,17
93,node4-7,node3-2,-20,True,False,18
94,node4-7,node3-2,-20,True,False,17
95,node4-7,node3-2,-20,True,False,17
96,node4-7,node3-2,-20,True,False,17
97,node4-7,node3-2,-20,True,False,17
98,node4-7,node3-2,-20,True,False,17
99,node4-7,node3-2,-20,True,False,17
100,node4-7,node3-2,-20,True,False,17
101,node4-7,node3-2,-20,True,False,17
102,node4-7,node3-2,-20,True,False,17
103,node4-7,node3-2,-20,True,False,17
104,node4-7,node3-2,-20,True,False,16
105,node4-7,node3-2,-20,True,False,17
106,node4-7,node3-2,-20,True,False,17
107,node4-7,node3-2,-20,True,False,17
108,node4-7,node3-2,-20,True,False,17
109,node4-7,node3-2,-20,True,False,17
110,node4-7,node3-2,-20,True,False,17
111,node4-7,node3-2,-20,True,False,17
112,node4-7,node3-2,-20,True,False,17
113,node4-7,node3-2,-20,True,False,17
114,node4-7,node3-2,-20,True,False,17
115,node4-7,node3-2,-20,True,False,17
116,node4-7,node3-2,-20,True,False,17
117,node4-7,node3-2,-20,True,False,17
118,node4-7,node3-2,-20,True,False,17
119,node4-7,node3-2,-20,True,False,17
120,node4-7,node3-2,-20,True,False,17
121,node4-7,node3-2,-20,True,False,17
122,node4-7,node3-2,-20,True,False,17
123,node4-7,node3-2,-20,True,False,16
124,node4-7,node3-2,-20,True,False,17
125,node4-7,node3-2,-20,True,False,17
126,node4-7,node3-2,-20,True,False,17
127,node4-7,node3-2,-20,True,False,18
128,node4-7,node3-2,-20,True,False,17
129,node4-7,node3-2,-20,True,False,17
130,node4-7,node3-2,-20,True,False,17
131,node4-7,node3-2,-20,True,False,16
132,node4-7,node3-2,-20,True,False,18
133,node4-7,node3-2,-20,True,False,17
134,node4-7,node3-2,-20,True,False,17
135,node4-7,node3-2,-20,True,False,17
136,node4-7,node3-2,-20,True,False,18
137,node4-7,node3-2,-20,True,False,17
138,node4-7,node3-2,-20,True,False,17
139,node4-7,node3-2,-20,True,False,17
140,node4-7,node3-2,-20,True,False,16
141,node4-7,node3-2,-20,True,False,17
142,node4-7,node3-2,-20,True,False,17
143,node4-7,node3-2,-20,True,False,17
144,node4-7,node3-2,-20,True,False,17
145,node4-7,node3-2,-20,True,False,17
146,node4-7,node3-2,-20,True,False,17
147,node4-7,node3-2,-20,True,False,18
148,node4-7,node3-2,-20,True,False,17
149,node4-7,node3-2,-20,True,False,16
150,node4-7,node3-2,-20,True,False,16
151,node4-7,node3-2,-20,True,False,18
152,node4-7,node3-2,-20,True,False,17
153,node4-7,node3-2,-20,True,False,17
154,node4-7,node3-2,-20,True,False,17
155,node4-7,node3-2,-20,True,False,17
156,node4-7,node3-2,-20,True,False,17
157,node4-7,node3-2,-20,True,False,17
158,node4-7,node3-2,-20,True,False,17
159,node4-7,node3-2,-20,True,False,17
160,node4-7,node3-2,-20,True,False,17
161,node4-7,node3-2,-20,True,False,17
162,node4-7,node3-2,-20,True,False,16
163,node4-7,node3-2,-20,True,False,17
164,node4-7,node3-2,-20,True,False,17
165,node4-7,node3-2,-20,True,False,17
166,node4-7,node3-2,-20,True,False,17
167,node4-7,node3-2,-20,True,False,17
168,node4-7,node3-2,-20,True,False,18
169,node4-7,node3-2,-20,True,False,17
170,node4-7,node3-2,-20,True,False,16
171,node4-7,node3-2,-20,True,False,17
172,node4-7,node3-2,-20,True,False,17
173,node4-7,node3-2,-20,True,False,17
174,node4-7,node3-2,-20,True,False,17
175,node4-7,node3-2,-20,True,False,17
176,node4-7,node3-2,-20,True,False,17
177,node4-7,node3-2,-20,True,False,17
178,node4-7,node3-2,-20,True,False,17
179,node4-7,node3-2,-20,True,False,18
