seq,src,dst,noise,received,error,rssi
1,node1-8,node4-3,-10,True,False,8
2,node1-8,node4-3,-10,True,False,10
3,node1-8,node4-3,-10,True,False,8
4,node1-8,node4-3,-10,True,False,3
5,node1-8,node4-3,-10,True,False,5
6,node1-8,node4-3,-10,True,False,4
7,node1-8,node4-3,-10,True,False,5
8,node1-8,node4-3,-10,True,False,5
9,node1-8,node4-3,-10,True,False,5
10,node1-8,node4-3,-10,True,False,5
11,node1-8,node4-3,-10,True,False,5
12,node1-8,node4-3,-10,True,False,6
13,node1-8,node4-3,-10,True,False,3
14,node1-8,node4-3,-10,True,False,4
15,node1-8,node4-3,-10,True,False,4
16,node1-8,node4-3,-10,True,False,4
17,node1-8,node4-3,-10,True,False,6
18,node1-8,node4-3,-10,True,False,5
19,node1-8,node4-3,-10,True,False,7
20,node1-8,node4-3,-10,True,False,4
21,node1-8,node4-3,-10,True,False,6
22,node1-8,node4-3,-10,True,False,4
23,node1-8,node4-3,-10,True,False,3
24,node1-8,node4-3,-10,True,False,4
25,node1-8,node4-3,-10,True,False,5
26,node1-8,node4-3,-10,True,False,4
27,node1-8,node4-3,-10,True,False,3
28,node1-8,node4-3,-10,True,False,5
29,node1-8,node4-3,-10,True,False,5
30,node1-8,node4-3,-10,True,False,4
31,node1-8,node4-3,-10,True,False,5
32,node1-8,node4-3,-10,True,False,6
33,node1-8,node4-3,-10,True,False,6
34,node1-8,node4-3,-10,True,False,5
35,node1-8,node4-3,-10,True,False,6
36,node1-8,node4-3,-10,True,False,6
37,node1-8,node4-3,-10,True,False,5
38,node1-8,node4-3,-10,True,False,5
39,node1-8,node4-3,-10,True,False,4
40,node1-8,node4-3,-10,True,False,4
41,node1-8,node4-3,-10,True,False,4
42,node1-8,node4-3,-10,True,False,5
43,node1-8,node4-3,-10,True,False,5
44,node1-8,node4-3,-10,True,False,5
45,node1-8,node4-3,-10,True,False,6
46,node1-8,node4-3,-10,True,False,5
47,node1-8,node4-3,-10,True,False,5
48,node1-8,node4-3,-10,True,False,4
49,node1-8,node4-3,-10,True,False,3
50,node1-8,node4-3,-10,True,False,6
51,node1-8,node4-3,-10,True,False,6
52,node1-8,node4-3,-10,True,False,4
53,node1-8,node4-3,-10,True,False,6
54,node1-8,node4-3,-10,True,False,4
55,node1-8,node4-3,-10,True,False,5
56,node1-8,node4-3,-10,True,False,7
57,node1-8,node4-3,-10,True,False,3
58,node1-8,node4-3,-10,True,False,3
59,node1-8,node4-3,-10,True,False,4
60,node1-8,node4-3,-10,True,False,4
61,node1-8,node4-3,-10,True,False,4
62,node1-8,node4-3,-10,True,False,6
63,node1-8,node4-3,-10,True,False,4
64,node1-8,node4-3,-10,True,False,4
65,node1-8,node4-3,-10,True,False,6
66,node1-8,node4-3,-10,True,False,3
67,node1-8,node4-3,-10,True,False,6
68,node1-8,node4-3,-10,True,False,6
69,node1-8,node4-3,-10,True,False,5
70,node1-8,node4-3,-10,True,False,2
71,node1-8,node4-3,-10,True,False,5
72,node1-8,node4-3,-10,True,False,5
73,node1-8,node4-3,-10,True,False,5
74,node1-8,node4-3,-10,True,False,3
75,node1-8,node4-3,-10,True,False,5
76,node1-8,node4-3,-10,True,False,6
77,node1-8,node4-3,-10,True,False,5
78,node1-8,node4-3,-10,True,False,7
79,node1-8,node4-3,-10,True,False,6
80,node1-8,node4-3,-10,True,False,4
81,node1-8,node4-3,-10,True,False,3
82,node1-8,node4-3,-10,True,False,5
83,node1-8,node4-3,-10,True,False,6
84,node1-8,node4-3,-10,True,False,2
85,node1-8,node4-3,-10,True,False,5
86,node1-8,node4-3,-10,True,False,4
87,node1-8,node4-3,-10,True,False,5
88,node1-8,node4-3,-10,True,False,5
89,node1-8,node4-3,-10,True,False,5
90,node1-8,node4-3,-10,True,False,6
91,node1-8,node4-3,-10,True,False,6
92,node1-8,node4-3,-10,True,False,3
93,node1-8,node4-3,-10,True,False,6
94,node1-8,node4-3,-10,True,False,3
95,node1-8,node4-3,-10,True,False,6
96,node1-8,node4-3,-10,True,False,7
97,node1-8,node4-3,-10,True,False,4
98,node1-8,node4-3,-10,True,False,5
99,node1-8,node4-3,-10,True,False,5
100,node1-8,node4-3,-10,True,False,4
101,node1-8,node4-3,-10,True,False,5
102,node1-8,node4-3,-10,True,False,4
103,node1-8,node4-3,-10,True,False,4
104,node1-8,node4-3,-10,True,False,5
105,node1-8,node4-3,-10,True,False,3
